,intc,mu,Ratio,Spread
78,45.133399963378906,71.73788452148438,1.5894633371226687,6.46217813440864
79,45.065555572509766,71.66816711425781,1.5903091885541023,6.411681925162876
80,45.55982208251953,72.08645629882812,1.5822374408807531,6.869184591742618
81,44.26115798950195,69.8455810546875,1.5780332966266668,6.80895424403665
82,45.201236724853516,70.8614501953125,1.5676883052261694,7.458812558512912
83,46.451446533203125,72.43504333496094,1.5593711012462215,8.100468763512206
84,46.625892639160156,72.90313720703125,1.5635762251509446,7.941476307313687
85,46.03470993041992,70.63238525390625,1.5343288870651075,9.164710396350978
86,45.10432434082031,69.12850952148438,1.532635961889838,9.020033978673363
87,45.60828399658203,69.83563232421875,1.531204996211924,9.205878332090785
88,44.11579132080078,66.8079605102539,1.514377471423791,9.588999287603722
89,43.825042724609375,66.20043182373047,1.5105617178681376,9.681349935314211
90,45.39506912231445,69.8953857421875,1.5397131691518813,8.768329037513206
91,42.245323181152344,67.9134521484375,1.6075969369962575,5.16922128494941
92,43.573062896728516,70.31368255615234,1.613696120532108,5.121615624816437
93,43.669979095458984,70.97100830078125,1.625166985897668,4.636015893125171
94,45.10432434082031,73.32144165039062,1.6255967187614704,4.8271018497671125
95,43.56584167480469,71.00088500976562,1.629737479646293,4.421617873143996
96,43.27280044555664,70.064697265625,1.6191394257872538,4.838565257217818
97,42.071319580078125,67.65451049804688,1.608091002928348,5.119845594785128
98,42.989524841308594,68.63053894042969,1.5964479531646898,5.770786953477563
99,41.836883544921875,66.68843841552734,1.5940106615236145,5.670519981835236
100,41.84665298461914,67.4354019165039,1.61148854464633,4.940866971259888
101,42.589027404785156,71.62832641601562,1.6818493114488853,2.063357241951388
102,42.08108901977539,70.1842041015625,1.6678324096741048,2.607462481670717
103,43.3704833984375,74.17794799804688,1.7103325161628073,0.8983991509981961
104,41.36801528930664,70.7618637084961,1.7105452899691702,0.7663060571976046
105,41.03589630126953,69.11854553222656,1.684343508054148,1.8211419117954732
106,40.68424606323242,68.62057495117188,1.6866620766308449,1.6960227089159985
107,41.02613067626953,69.30777740478516,1.6893569113714735,1.6146063081056297
108,40.70378112792969,66.34982299804688,1.630065344286152,4.001388883573464
109,41.221492767333984,67.59475708007812,1.6397940138073714,3.6737891259471893
110,42.47180938720703,70.31368255615234,1.6555377218596103,3.170302254079951
111,43.51700210571289,73.02265167236328,1.6780257862197014,2.3133122770801946
112,43.390018463134766,73.54053497314453,1.6948721751668852,1.5704263974329904
113,43.08720779418945,73.25171661376953,1.7000803803222526,1.3226939063399725
114,43.80027770996094,75.06433868408203,1.713786820739977,0.7735618942970119
115,42.3838996887207,69.65635681152344,1.6434626667932715,3.6718606221777974
116,42.335060119628906,70.1642837524414,1.6573564217028078,3.0773947477936985
117,42.520652770996094,70.47303771972656,1.6573837212536202,3.0974927832418415
