,ba,noc,Ratio,Spread
1357,133.27999877929688,464.239990234375,3.483193235941776,-77.91542635235506
1358,135.25999450683594,476.9800109863281,3.526393836739524,-84.87285719662283
1359,135.9199981689453,474.3699951171875,3.49006769796713,-80.33529650379076
1360,135.5850067138672,473.4100036621094,3.491610282995181,-80.35364968873024
1361,135.8350067138672,474.54998779296875,3.4935765033869037,-80.76350725577215
1362,136.6999969482422,475.5249938964844,3.4786028128188566,-79.21230396904828
1363,136.49000549316406,476.2300109863281,3.4891200221263055,-80.53060241700094
1364,136.19000244140625,475.3599853515625,3.490417628533924,-80.53673757149404
1365,137.29119873046875,484.29998779296875,3.5275384895119943,-86.26068936241332
1366,135.6199951171875,493.04998779296875,3.635525774550652,-99.89144996883074
1367,136.32000732421875,499.94000244140625,3.667400055608612,-104.73707458786824
1368,137.25999450683594,506.6400146484375,3.6910974422573313,-108.69184834819255
1369,137.48500061035156,507.8999938964844,3.6942211269717475,-109.29469586344818
1370,136.8000030517578,506.04998779296875,3.6991957346777724,-109.44522941465011
1371,137.4199981689453,506.92999267578125,3.6889099070759497,-108.51453467947978
1372,140.7375946044922,514.8200073242188,3.6580134026802975,-106.71548818544183
1373,140.1383056640625,509.9700012207031,3.6390478592141378,-103.61570918116509
1374,139.75779724121094,507.8900146484375,3.6340728365363355,-102.6469998380203
1375,138.32000732421875,507.5899963378906,3.6696787844155616,-106.54605597381301
1376,138.69500732421875,508.4200134277344,3.66574127819347,-106.2808832179306
1377,138.22000122070312,509.2879943847656,3.6846186506072938,-108.53612247157055
1378,138.4499969482422,511.1000061035156,3.6915855353509617,-109.6764302293574
1379,140.88999938964844,514.375,3.6508978793976237,-105.82538173284117
1380,140.94000244140625,513.0,3.6398466802444696,-104.3043475073999
1381,140.34500122070312,512.9299926757812,3.6547792099068785,-105.97204497013782
1382,139.10000610351562,513.3599853515625,3.6905820476350635,-110.03805367344553
1383,138.64999389648438,511.9549865722656,3.6924270400941346,-109.9473183597312
1384,139.08999633789062,511.8599853515625,3.6800632599637404,-108.56728725656713
1385,139.05999755859375,512.6599731445312,3.6866099679637845,-109.45488667212284
1386,138.91000366210938,515.3200073242188,3.70974007442765,-112.55297896474526
1387,138.53500366210938,514.6900024414062,3.715234336707776,-113.01816392765893
1388,139.66000366210938,521.219970703125,3.732063275353724,-116.26256265219918
1389,140.09500122070312,523.4774780273438,3.7365892677545776,-117.24965688551778
1390,140.47999572753906,522.89501953125,3.7222027009838814,-115.54281952396515
1391,140.8968963623047,523.9000244140625,3.7183219640757526,-115.3302634951187
1392,141.3300018310547,522.5900268554688,3.6976581057443894,-112.75537870584897
1393,140.78500366210938,531.244873046875,3.773447876038613,-123.00189545877062
1394,141.0312957763672,528.5599975585938,3.7478206142041652,-119.59772231017583
1395,142.17999267578125,527.5399780273438,3.7103671768384063,-115.22292629877798
1396,141.3699951171875,525.9099731445312,3.7200961399806407,-115.9585243525918
1397,142.10499572753906,525.4000244140625,3.697266389011567,-113.30200174196422
1398,142.2899932861328,526.3599853515625,3.699205918810456,-113.72167615238148
1399,142.10000610351562,526.2000122070312,3.7030259648526,-114.11656176310483
1400,144.4550018310547,522.239990234375,3.615243388007799,-103.27876003703706
