,goog,adbe,Ratio,Spread
119,137.5225067138672,528.5700073242188,3.8435163810966224,-60.01105048573857
120,137.4344940185547,528.5,3.845468372217011,-60.243111572778965
121,136.96824645996094,528.0850219726562,3.8555288223466304,-61.42834200147423
122,136.69400024414062,525.9099731445312,3.8473522773877145,-60.19453373429929
123,136.11898803710938,523.27001953125,3.844210327133741,-59.52807977599168
124,134.71701049804688,516.969970703125,3.8374513269845756,-58.03975869170967
125,133.4010009765625,510.8900146484375,3.8297314930807516,-56.47647950897994
126,132.65798950195312,504.375,3.802070285352652,-52.51155487750686
127,134.66000366210938,513.5,3.813307485780862,-54.765441175905046
128,132.6487579345703,508.57000732421875,3.833959814196478,-56.738245868301824
129,132.42698669433594,505.9800109863281,3.820822504662258,-54.90939070399646
130,132.34300231933594,504.2099914550781,3.8098726991129372,-53.42761398404503
131,131.40750122070312,502.0799865722656,3.8207863471127586,-54.50834284358417
132,130.01651000976562,499.9100036621094,3.8449732547394238,-57.112381495560335
133,127.04649353027344,490.1549987792969,3.858075773358512,-57.550771510928435
134,127.3594970703125,496.07000732421875,3.895037423478117,-62.39152046497686
135,125.15799713134766,486.7099914550781,3.888764622402019,-60.587273528817384
136,125.69000244140625,501.489990234375,3.989895620124265,-73.54137664362838
137,126.89900207519531,508.44000244140625,4.006650912354101,-76.34198066250212
138,127.70699310302734,513.7750244140625,4.023076668946199,-78.90389626428504
139,130.53199768066406,519.6799926757812,3.981245992627311,-75.11316504155428
140,128.6064910888672,508.57501220703125,3.9545050012724903,-70.61671661454949
141,127.86500549316406,504.1300048828125,3.9426737827009624,-68.71656233761308
142,127.06400299072266,506.57000732421875,3.986731059946262,-73.90568582874909
143,127.60099792480469,503.6700134277344,3.947226288344134,-69.16267137691864
144,128.62649536132812,509.6499938964844,3.9622473772982225,-71.62304163147127
145,127.93550109863281,505.7410888671875,3.95309421172535,-70.08569832267864
146,126.73500061035156,502.7200012207031,3.9667021643557048,-71.1848489432229
147,129.46273803710938,513.1099853515625,3.9633796807579023,-72.21296422201334
148,130.99899291992188,513.8599853515625,3.9226254637368014,-67.69038314615233
149,131.69876098632812,516.7100219726562,3.9234235622482188,-68.1387454710702
150,131.69850158691406,515.9249877929688,3.917470446332189,-67.35460157622867
151,131.77499389648438,515.1300048828125,3.9091635647311964,-66.29708937591255
152,128.9449920654297,501.0,3.8853777256101654,-61.87993505325819
153,129.2550048828125,501.2099914550781,3.8776834360069397,-61.02593137803962
154,131.3874969482422,504.7950134277344,3.8420323482270886,-57.292026371584264
155,131.28700256347656,501.7550048828125,3.821817812012401,-54.59692464992043
156,130.65875244140625,497.57000732421875,3.8081643826145775,-52.56814461850616
157,129.031494140625,491.6199951171875,3.810077519379845,-52.20304635917177
158,129.45199584960938,489.3599853515625,3.7802428779860264,-48.49983248857479
159,129.42599487304688,491.2799987792969,3.7958371443170305,-50.509083879690884
160,129.06649780273438,493.04998779296875,3.8201237051194172,-53.51290295044743
161,129.41400146484375,493.0849914550781,3.8101363521243736,-52.35523913717282
162,131.65249633789062,508.2300109863281,3.860390232798461,-59.81751940550101
163,131.40975952148438,506.6300048828125,3.855345346705264,-59.05061043900168
164,131.49575805664062,509.06500244140625,3.8713416308237947,-61.19045238631657
165,130.92149353027344,505.635009765625,3.8621237516566005,-59.731393250364825
166,131.88449096679688,512.4199829101562,3.885369531730328,-63.21126245887434
167,133.3144989013672,518.5399780273438,3.8895992731517213,-64.4233266991601
168,133.40792846679688,525.9199829101562,3.9421943579691323,-71.48267192834231
169,132.9949951171875,525.030029296875,3.9477427615546654,-72.00994705041018
170,133.88424682617188,529.0599975585938,3.9516224656773615,-72.98791412083943
