,fcx,ctva,Ratio,Spread
259,43.72999954223633,51.43000030517578,1.1760805132298815,17.085377945761564
260,43.48500061035156,51.48500061035156,1.1839714818377076,16.637534329820753
261,44.04499816894531,51.5369987487793,1.1700987828651188,17.483463758855947
262,43.619998931884766,51.220001220703125,1.1742320604061962,17.118996653290353
263,42.86000061035156,50.757598876953125,1.1842650059294244,16.362780391195173
264,42.79999923706055,51.060001373291016,1.1929907075577264,15.964168748340768
265,42.790000915527344,51.040000915527344,1.192802052430111,15.968137406688086
266,42.130001068115234,51.099998474121094,1.2129123469876795,14.849863703103892
267,42.560001373291016,51.029998779296875,1.199013090524036,15.609346989614465
268,42.724998474121094,50.849998474121094,1.190169696668834,16.05391174353325
269,42.609901428222656,50.869998931884766,1.193853945369398,15.84935903396105
270,42.349998474121094,50.81999969482422,1.2000000360302,15.48261711961571
271,42.415000915527344,50.83000183105469,1.1983968108897711,15.576843087946344
272,42.439998626708984,50.880001068115234,1.1988690554785895,15.566926407763063
273,42.70859909057617,50.810001373291016,1.1896901901542927,16.067613267983745
274,42.88999938964844,50.9900016784668,1.1888552670572736,16.178479104603355
275,42.95500183105469,51.042999267578125,1.1882900033000616,16.22970962005313
276,43.150001525878906,50.970001220703125,1.1812282599835884,16.61537974726579
277,43.30500030517578,50.89699935913086,1.1753146057141972,16.93691425816472
278,43.540000915527344,50.814998626708984,1.1670876793341365,17.395726501935272
279,43.65999984741211,50.869998931884766,1.1651396955948459,17.533138373119726
280,43.959999084472656,51.849998474121094,1.1794813365324957,17.034172330120356
281,44.099998474121094,51.459999084472656,1.1668934436510374,17.64865361163453
282,43.94499969482422,51.244998931884766,1.1661167206224905,17.615121114895757
283,43.755001068115234,51.02000045776367,1.1660381490641198,17.53546646672376
284,44.279998779296875,51.38999938964844,1.1605691239015083,18.007274629335484
285,44.29499816894531,51.34000015258789,1.159047347891793,18.081324623856958
286,44.2599983215332,51.459999084472656,1.1626751250787224,17.905205219005765
287,43.48500061035156,51.209999084472656,1.177647427059761,16.91253585569966
288,43.81999969482422,51.23500061035156,1.1692149924045563,17.424688302024165
289,43.80270004272461,51.474998474121094,1.1751558334055439,17.156951327093566
290,43.393699645996094,51.40999984741211,1.1847341956738568,16.56613864589606
291,43.244998931884766,51.27000045776367,1.1855706260628909,16.467704013015393
292,43.20500183105469,51.29999923706055,1.1873625057964325,16.37357191938031
293,43.209999084472656,51.2599983215332,1.1862994540065446,16.421585676279435
294,43.5099983215332,51.0,1.172144379853032,17.162617497049595
295,43.130001068115234,50.83000183105469,1.1785300387722883,16.72330942140873
296,42.994998931884766,50.63999938964844,1.177811388479747,16.696842812321023
297,42.97999954223633,50.619998931884766,1.1777570840162674,16.692792512623768
298,43.33000183105469,51.01089859008789,1.1772650919559458,16.863103700757776
299,42.959999084472656,50.79999923706055,1.1824953519475645,16.480722491942473
300,43.02000045776367,50.70000076293945,1.1785216230463753,16.67693011258008
301,43.41999816894531,51.189998626708984,1.1789498108113903,16.828308208902243
