,cb,gs,Ratio,Spread
1213,194.8699951171875,338.92999267578125,1.739262078145799,-17.412324220856483
1214,195.44000244140625,339.66900634765625,1.737970743474026,-17.206026960143568
1215,195.71499633789062,340.1600036621094,1.7380375036506799,-17.24096919302753
1216,195.63999938964844,340.4200134277344,1.7400327872100088,-17.625355316765543
1217,194.97000122070312,340.239990234375,1.745088927035644,-18.55646976498992
1218,197.85000610351562,343.1000061035156,1.734142004140272,-16.640231038874795
1219,197.36000061035156,342.7900085449219,1.7368768113336868,-17.142867862393594
1220,196.5500030517578,340.7099914550781,1.7334519774357797,-16.406166051099383
1221,196.8699951171875,342.7731018066406,1.7411139854125757,-17.938595506224836
1222,196.52679443359375,341.347412109375,1.7369001163081406,-17.08207631693029
1223,196.5,342.3699951171875,1.742340942072201,-18.149095720438943
1224,197.10000610351562,342.7799987792969,1.7391171393433194,-17.564037906715164
1225,195.72999572753906,331.8800048828125,1.6956011450835444,-8.936095142108007
1226,195.52999877929688,332.79998779296875,1.7020405557748426,-10.187756775720464
1227,195.35000610351562,331.4549865722656,1.6967237072755872,-9.1412588144886
1228,195.8699951171875,331.8999938964844,1.6944912552732294,-8.723906518814095
1229,194.88999938964844,330.260009765625,1.6945970075423311,-8.709165846715285
1230,194.2100067138672,327.8500061035156,1.6881210790880743,-7.426874905449898
1231,193.1999969482422,328.25,1.6990165899844056,-9.501888109404552
1232,192.64999389648438,324.6650085449219,1.6852583380790163,-6.829032122929339
1233,193.94000244140625,327.260009765625,1.6874291308957665,-7.284658762230611
1234,193.875,326.8699951171875,1.6859832114361701,-7.002445392645887
1235,194.02000427246094,327.0199890136719,1.6854962468428771,-6.91196145980212
1236,193.02999877929688,325.989990234375,1.6888048090758137,-7.523806523990521
1237,191.88999938964844,324.5400085449219,1.6912815132482057,-7.964421394248694
1238,193.25999450683594,327.260009765625,1.6933665480056155,-8.412396788539132
1239,192.37249755859375,331.3581848144531,1.7224821064327371,-13.982413570210957
1240,193.49000549316406,331.989990234375,1.715799166929602,-12.76092268512321
1241,192.83999633789062,331.57000732421875,1.7194047584570993,-13.418927258030243
1242,193.49000549316406,334.8699951171875,1.730683681897039,-15.64092756793571
1243,192.97000122070312,334.010009765625,1.730890851700892,-15.643327141730941
1244,191.3699951171875,330.989990234375,1.7295814321972975,-15.27678800905955
1245,192.1699981689453,331.6000061035156,1.7255555459390237,-14.56006367891087
1246,190.14999389648438,323.7799987792969,1.702761026411388,-10.090069664168146
1247,189.94500732421875,323.1400146484375,1.7012293147398556,-9.790039143662801
1248,189.4600067138672,322.9700012207031,1.704686951206911,-10.42435990567862
1249,189.36000061035156,322.9200134277344,1.705323259330839,-10.540224127170182
1250,189.28500366210938,324.32000732421875,1.7133951504323022,-12.064594381767568
1251,189.22999572753906,324.9100036621094,1.7170111028799464,-12.74581691925079
1252,189.24000549316406,325.8399963378906,1.7218346379178318,-13.659209210307273
1253,189.84500122070312,327.8699951171875,1.7270404435670355,-14.68587162687317
1254,189.9600067138672,326.739990234375,1.7200462133407726,-13.36513945797771
1255,189.88999938964844,325.42999267578125,1.7137816300057431,-12.171243370599091
1256,190.66000366210938,327.1199951171875,1.715724267460493,-12.584256155961276
1257,190.13519287109375,326.1300048828125,1.7152532361745327,-12.464622068267607
1258,191.66000366210938,328.17999267578125,1.712302965695192,-11.985834791809458
1259,191.89999389648438,328.6600036621094,1.7126629187877762,-12.067841432175959
1260,186.47999572753906,322.5199890136719,1.7295152102260727,-14.916454308363432
1261,187.02999877929688,323.29998779296875,1.7285996359037359,-14.784317619057395
1262,187.9600067138672,323.1000061035156,1.7189827333607888,-13.041993172609358
1263,186.2100067138672,320.9743957519531,1.7237225937334653,-13.818615935851545
1264,186.2899932861328,321.2799987792969,1.7246229553823949,-13.991567718184404
1265,187.25999450683594,322.9599914550781,1.7246609042450252,-14.062892014465325
1266,187.60000610351562,323.3999938964844,1.7238805083942044,-13.939012789985105
1267,188.56500244140625,326.1199951171875,1.7294831537921487,-15.058645823550256
1268,187.42999267578125,325.7799987792969,1.738142301178207,-16.600971158473108
1269,187.36000061035156,326.9849853515625,1.7452230160459163,-17.92203389648939
1270,187.00999450683594,327.79998779296875,1.7528474275260535,-19.317493083042343
1271,185.0500030517578,323.55999755859375,1.7485003632671932,-18.327989766188416
1272,184.63999938964844,322.94000244140625,1.7490251489868203,-18.3879524806381
1273,182.5399932861328,320.67999267578125,1.7567656648979544,-19.61063257496449
1274,181.99000549316406,317.0950012207031,1.7423759088386526,-16.937751283024745
1275,181.88999938964844,313.8999938964844,1.7257682937479233,-13.908595973266364
1276,182.42999267578125,312.69000244140625,1.7140273803394055,-11.803069434310038
1277,181.88999938964844,313.04998779296875,1.7210951060720316,-13.058589869750739
1278,181.89999389648438,311.9100036621094,1.714733447652621,-11.902030659631128
1279,182.08999633789062,313.8599853515625,1.723653092777026,-13.536908704888281
1280,181.39999389648438,312.739990234375,1.7240352853200183,-13.561226693269537
1281,180.9499969482422,302.19000244140625,1.6700193840171371,-3.757522354443387
1282,181.19000244140625,301.5299987792969,1.6641646598399187,-2.699489040907855
1283,179.82000732421875,298.6370849609375,1.660755604477812,-2.078601048961167
1284,179.69000244140625,299.9599914550781,1.6693193131481525,-3.6171101008073436
1285,178.66000366210938,299.2550048828125,1.6749971943848068,-4.620292994532468
1286,179.6199951171875,299.6600036621094,1.6682998096431607,-3.433223779053782
1287,180.32000732421875,301.989990234375,1.6747447757773841,-4.602296861025939
1288,176.80499267578125,300.42999267578125,1.699216680078142,-8.871666109128574
1289,175.1999969482422,295.8999938964844,1.6889269352207783,-7.003422615308187
1290,175.3000030517578,295.20001220703125,1.6839703768851197,-6.137588911394749
1291,173.97000122070312,292.9851989746094,1.6841133351658732,-6.128475882880144
1292,174.55999755859375,293.8299865722656,1.6832607165547024,-5.994802389428008
1293,175.0500030517578,295.5993957519531,1.6886569014486217,-6.951577187002959
1294,174.80999755859375,294.70001220703125,1.6858304234473325,-6.450223293507241
1295,176.08999633789062,295.0203857421875,1.6753954902474248,-4.647822631986406
1296,176.2550048828125,293.3399963378906,1.664293144656658,-2.6937799343763857
1297,175.68600463867188,290.0299987792969,1.6508429306921337,-0.32742314771224423
1298,176.30999755859375,289.2200012207031,1.6404061325256702,1.517416076939122
1299,176.46499633789062,289.7300109863281,1.641855421749255,1.2644592199025566
1300,178.3000030517578,290.80999755859375,1.6310151014084726,3.227682505279341
1301,178.24000549316406,291.6499938964844,1.6362768453105208,2.288185080898296
1302,178.9199981689453,297.739990234375,1.6640956476717255,-2.674098536148341
1303,180.00999450683594,299.239990234375,1.6623520880281526,-2.366427983667228
1304,180.3800048828125,299.7300109863281,1.6616587364051452,-2.2428165264886446
1305,181.0399932861328,300.29998779296875,1.658749441723333,-1.7182560762702281
1306,180.6071014404297,299.4599914550781,1.6580742898077578,-1.5961757667959149
1307,181.33999633789062,301.3599853515625,1.6618506200366232,-2.280722896947458
1308,180.27000427246094,300.7699890136719,1.668441681285405,-3.465221647552943
1309,179.1199951171875,292.760009765625,1.6344351147067062,2.637560656057866
1310,180.77000427246094,294.9800109863281,1.6317973337087888,3.1539658411635343
1311,182.39999389648438,296.0299987792969,1.6229715388439092,4.807183684554099
1312,182.8800048828125,295.4150085449219,1.6153488662372935,6.2182332217814125
1313,183.2050018310547,294.6199951171875,1.6081438398110761,7.552227738315191
1314,183.35499572753906,295.6400146484375,1.6123913803131449,6.780960923291213
1315,183.77999877929688,296.1099853515625,1.6112198678767202,7.015823323425929
1316,184.47999572753906,297.32000732421875,1.6116652981894828,6.96668953559867
1317,185.44000244140625,299.989990234375,1.6177199432962868,5.888799925682514
1318,184.4499969482422,295.5,1.6020602054166426,8.736946316572181
1319,185.07000732421875,296.6400146484375,1.602852990267421,8.625168607952782
1320,183.57000732421875,294.3399963378906,1.6034209543720914,8.437558534381418
1321,183.36000061035156,294.29998779296875,1.6050391950988796,8.129287971122318
1322,182.2100067138672,293.1099853515625,1.6086382446154381,7.412118773557035
1323,185.3000030517578,299.1000061035156,1.6141392400299708,6.546606419576046
1324,185.5,299.239990234375,1.6131535861691375,6.738301012172878
1325,185.47999572753906,299.1099853515625,1.6126266564667182,6.835130431000431
1326,185.75999450683594,298.3399963378906,1.606050846038929,8.06947471860388
1327,187.2550048828125,300.2699890136719,1.6035351856234024,8.618835540043046
1328,187.0800018310547,300.3500061035156,1.6054629204822815,8.248590077625915
1329,187.08999633789062,299.19000244140625,1.5991769111003635,9.425168818995525
1330,191.27999877929688,309.6199951171875,1.6186741797004816,5.943955478392349
1331,192.5399932861328,312.9700012207031,1.625480482673539,4.6835481075688055
1332,192.47999572753906,314.625,1.6345854477540653,2.9290482417815666
1333,192.4600067138672,312.5400085449219,1.6239218416404775,4.9808895383392215
