,amd,amat,Ratio,Spread
79,121.83989715576172,137.45970153808594,1.1281994219213405,13.140886683298309
80,122.4000015258789,137.96499633789062,1.1271649887089326,13.333639875840792
81,121.71859741210938,137.84500122070312,1.132489234607212,12.604413314050138
82,121.61000061035156,137.39999389648438,1.1298412400862101,12.91407839941704
83,120.08000183105469,136.5399932861328,1.13707520989412,11.867269077258474
84,124.52269744873047,136.22109985351562,1.0939459443496373,17.723014071807288
85,123.5999984741211,135.5800018310547,1.0969255946992744,17.214168974502744
86,123.36299896240234,134.4600067138672,1.0899541016739298,18.038795867178923
87,125.97000122070312,136.72000122070312,1.0853377780092712,19.027861338344255
88,126.30999755859375,137.39999389648438,1.0877998301974956,18.771599977175473
89,127.54000091552734,137.82000732421875,1.0806022136968627,19.88451758818326
90,126.31999969482422,137.13999938964844,1.0856554759417685,19.044059966316784
