,ibm,avgo,Ratio,Spread
780,134.77000427246094,498.1400146484375,3.6962231865880266,43.66128021787376
781,135.72000122070312,498.1300048828125,3.6702770439323156,47.51901040091236
782,136.11599731445312,499.125,3.6669091792857307,48.12789649403539
783,135.02000427246094,498.6099853515625,3.6928600916454006,44.20387077205937
784,137.57009887695312,505.5249938964844,3.674672025558703,47.617370223080634
785,137.9199981689453,506.2650146484375,3.670715062135423,48.29452733925445
786,138.08999633789062,504.3800048828125,3.652545573602968,50.86807134363057
787,137.69000244140625,504.3399963378906,3.6628657665433018,49.288006597589124
788,137.9550018310547,503.260009765625,3.6480011821676297,51.44130563053074
789,138.3300018310547,504.7099914550781,3.6485938319547695,51.51016582704364
790,137.8800048828125,503.69000244140625,3.653104036872528,50.70755693792314
791,137.37649536132812,503.0,3.6614706080323836,49.35822244276091
792,137.72999572753906,501.25,3.6393669901187344,52.53998554384231
793,137.17999267578125,497.95001220703125,3.6299026009129025,53.61232621036067
794,137.68499755859375,500.7200012207031,3.6367070494199254,52.887730713043375
795,137.8000030517578,501.0,3.63570383820546,53.073532360769896
796,137.3699951171875,498.2699890136719,3.627211230433604,54.06190584756968
797,137.0500030517578,495.8800048828125,3.6182414727531254,55.155843706025344
798,137.89999389648438,496.45001220703125,3.6000727641778942,58.02850757556218
799,137.02999877929688,498.44500732421875,3.637488227136481,52.509819059520574
800,136.82749938964844,494.4248962402344,3.61349069774522,55.70975799715672
801,137.4550018310547,491.6000061035156,3.576443196354098,61.07618677801879
802,137.41000366210938,493.0,3.5878028299328553,59.4939392714386
803,138.05999755859375,494.7300109863281,3.5834421246919175,60.3965628333844
804,138.42999267578125,496.5799865722656,3.587228294776496,60.04515813167968
805,140.55999755859375,509.4200134277344,3.6242175745298932,55.832172965084915
806,140.86390686035156,506.05419921875,3.5925043575600784,60.428894312854545
807,140.9949951171875,505.4949951171875,3.5851981461969418,61.5190379750589
808,141.66000366210938,505.25,3.5666383378411712,64.45748064572007
809,141.67999267578125,504.5950012207031,3.561512050437581,65.19343982828099
810,141.9499969482422,504.1199951171875,3.551391376929721,66.76202939420574
811,142.10000610351562,509.2699890136719,3.5838843570681047,62.21960933320856
812,143.0,505.75189208984375,3.5367265181107954,69.38290206262133
813,143.6699981689453,509.8599853515625,3.548827116653853,67.98846555427502
814,143.2949981689453,509.1000061035156,3.5528107233951385,67.22960291635587
815,142.77499389648438,508.7300109863281,3.5631590455900897,65.49345331382352
816,142.86000061035156,507.3200988769531,3.551169653573367,67.24766344349138
817,142.91000366210938,505.8900146484375,3.539920241304754,68.88027228383595
818,142.80999755859375,505.94000244140625,3.5427491848658796,68.42523526720919
819,143.42999267578125,512.27001953125,3.571568330824777,64.60635031890882
