,tjx,hd,Ratio,Spread
56,74.52999877929688,392.2799987792969,5.2633839420948085,-44.905227015830725
57,73.69999694824219,387.7149963378906,5.260719299760269,-44.26136834448338
58,73.58000183105469,387.6639099121094,5.268604243884301,-44.77716995267114
59,73.55999755859375,388.17999267578125,5.277052821631471,-45.38775808416259
60,73.58000183105469,388.2749938964844,5.276909272005639,-45.38825393704614
61,73.3499984741211,388.3699951171875,5.294751236487208,-46.56985062825178
62,73.43000030517578,389.510009765625,5.304507805349553,-47.33191589188514
63,73.66999816894531,392.95001220703125,5.333921840284157,-49.63810622211626
64,73.56999969482422,393.9200134277344,5.3543565999966605,-51.08052615220593
65,73.61000061035156,390.2300109863281,5.30131786103329,-47.201549018397635
66,73.59500122070312,389.82000732421875,5.296827241774104,-46.862406360534386
67,73.46499633789062,388.7799987792969,5.292044077578998,-46.436574576728425
68,73.01000213623047,388.07000732421875,5.315299218867478,-47.876093655844706
69,72.61000061035156,387.0799865722656,5.330945920927069,-48.775783784674935
70,71.0999984741211,379.57000732421875,5.338537489032074,-48.39944599104749
71,70.45999908447266,374.3800964355469,5.313370725235354,-46.233058094334105
72,70.80999755859375,373.8999938964844,5.280327733200247,-44.09947205080014
73,70.51000213623047,373.3900146484375,5.295560960656628,-45.0067489309129
74,70.56999969482422,372.3599853515625,5.2764629015418905,-43.693275617053395
75,71.05500030517578,371.8999938964844,5.233973573980753,-40.942015576051496
76,71.16999816894531,372.0,5.226921590147243,-40.49874196593445
77,69.80000305175781,364.8500061035156,5.227077222804325,-39.820960078843804
78,69.63999938964844,366.5,5.262780057612666,-42.2268527449364
79,69.20999908447266,364.80999755859375,5.27105912995799,-42.5682831928057
