,lly,unh,Ratio,Spread
313,239.00999450683594,461.7300109863281,1.9318439462711345,-59.545225764579044
314,238.32000732421875,459.6400146484375,1.9286673402251426,-58.62115671231206
315,237.78500366210938,449.94500732421875,1.8922345833195902,-49.83018845327692
316,237.13999938964844,452.510009765625,1.9081977352209516,-53.48510690986697
317,238.55999755859375,448.69000244140625,1.8808266559073952,-47.2656135481989
318,239.16000366210938,447.3599853515625,1.870546824307641,-44.9217174976242
319,240.8350067138672,449.2799987792969,1.865509524174284,-44.01134246199658
320,241.63499450683594,450.0079040527344,1.8623457457856067,-43.38744349981019
321,243.07000732421875,455.7950134277344,1.87515941783707,-46.74969536853021
322,249.28880310058594,468.0899963378906,1.8777016477110697,-48.536274844458745
323,251.89999389648438,470.2850036621094,1.8669512308736618,-46.31894136930296
324,252.05999755859375,473.39599609375,1.878108389585716,-49.15956264021358
325,251.24009704589844,474.69000244140625,1.8893879122912705,-51.839021360509975
326,251.1999969482422,474.04998779296875,1.8871416940767045,-51.26676709833973
327,250.44000244140625,474.3599853515625,1.89410629582846,-52.860988994381415
328,250.88999938964844,475.75,1.8962493569188839,-53.490607314277185
329,247.02000427246094,469.4849853515625,1.9005950013413675,-53.76503718891652
330,249.17019653320312,470.3800048828125,1.8877859849507808,-51.02670252273501
331,248.35000610351562,469.760009765625,1.8915240516234282,-51.79264967443541
332,248.63400268554688,469.1449890136719,1.8868899022110435,-50.697736871795
333,247.49000549316406,468.8299865722656,1.8943390689173314,-52.31583923998343
334,248.49000549316406,471.7049865722656,1.8982855492964372,-53.50105816144057
335,249.8699951171875,475.7900085449219,1.9041502294894561,-55.254199778836465
336,247.74000549316406,473.25,1.9102687878686533,-56.31340739808209
337,248.14999389648438,472.19000244140625,1.9028410802152993,-54.56061919313569
338,246.3699951171875,470.7799987792969,1.9108658039115813,-56.158423788111605
339,246.1300048828125,470.3500061035156,1.9109819882685934,-56.13396206941232
340,248.8699951171875,474.8599853515625,1.9080644298962646,-56.01395766402001
341,248.82000732421875,475.17498779296875,1.9097137440953602,-56.413428532142945
342,249.6699981689453,476.25,1.907517937648775,-56.05214229282055
343,253.41000366210938,484.8599853515625,1.9133419294609333,-58.34233712838798
344,255.62269592285156,483.8500061035156,1.8928288208396973,-53.59339236550065
345,254.61900329589844,484.9599914550781,1.9046496340710881,-56.39939852676153
346,254.01499938964844,485.4800109863281,1.9112257628598617,-57.94005243015877
347,253.9149932861328,485.614990234375,1.9125101040691328,-58.244020099665164
348,253.4550018310547,485.8760986328125,1.9170112845383205,-59.28241335518507
349,254.14999389648438,484.9700012207031,1.9082038672730877,-57.20193150117521
350,255.6125946044922,487.989990234375,1.9090999447403558,-57.750445512992
351,255.86000061035156,485.0799865722656,1.895880502677683,-54.42237986346359
352,256.69000244140625,483.6499938964844,1.8841793186194913,-51.589865798410216
353,257.29998779296875,489.6600036621094,1.9030704504195486,-56.56913385877655
354,259.55999755859375,490.32000732421875,1.8890430418251667,-53.41021578161062
355,258.3800048828125,488.2349853515625,1.8896004958781545,-53.31912310530876
356,258.6300048828125,486.3399963378906,1.880446920914128,-51.00168882200117
357,257.7200012207031,484.67498779296875,1.880626204785358,-50.87438724671645
358,259.0047912597656,491.44000244140625,1.8974166464299984,-55.46838799724574
359,262.0899963378906,494.7799987792969,1.8878248147305041,-53.59506317069631
360,262.25,495.0,1.8875119161105816,-53.544693230669424
361,263.2749938964844,495.4599914550781,1.8819105609774898,-52.272669393846314
362,262.1499938964844,494.1567077636719,1.885015141212631,-52.870389415800815
363,262.82000732421875,498.32000732421875,1.8960505039081124,-55.90151296379244
364,260.510009765625,491.4773864746094,1.8865969369729039,-52.96228228017506
365,261.8399963378906,488.8999938964844,1.8671707941272075,-48.13750355751952
366,262.2699890136719,485.1099853515625,1.8496587702463898,-43.62090152515046
367,263.0,488.1400146484375,1.856045683073907,-45.417372070199775
368,262.8999938964844,488.07000732421875,1.856485426608241,-45.516353167440485
369,262.2850036621094,487.3800048828125,1.8582076675290344,-45.8655495875698
370,261.6400146484375,486.8699951171875,1.8608391983595811,-46.44543005311559
371,260.9750061035156,473.7799987792969,1.8154228860957369,-34.47915257150325
372,262.4049987792969,472.7049865722656,1.8014328567339812,-30.987765798481945
373,263.3999938964844,480.010009765625,1.8223615067898138,-36.6114650695753
374,263.07000732421875,480.6199951171875,1.8269661372869876,-37.779055487125476
375,261.5609130859375,476.618896484375,1.8222099428433285,-36.327995743898754
376,261.3299865722656,476.1000061035156,1.821834579139886,-36.19932061637596
377,259.94000244140625,473.20001220703125,1.820420126808672,-35.64809560369267
