,meta,tmus,Ratio,Spread
135,291.04998779296875,102.76000213623047,0.353066505569917,132.45767806250365
136,296.8500061035156,104.23999786376953,0.3511537669546809,135.68124003030502
137,301.70001220703125,104.5999984741211,0.34670200279058305,139.25437933593557
138,303.7799987792969,105.41999816894531,0.347027449445529,140.1211565311764
139,309.0199890136719,106.66999816894531,0.3451880200676143,143.1205562866195
140,302.0799865722656,105.87000274658203,0.35047009882349517,138.29251742681515
141,301.1499938964844,105.37999725341797,0.3499252843738748,138.02834009286178
142,301.29998779296875,105.43499755859375,0.34993362705026376,138.0949781874787
143,302.125,105.9800033569336,0.35078197221988777,138.2190207106028
144,304.8299865722656,106.36000061035156,0.34891580650034554,140.03264763672175
145,302.2521057128906,105.7249984741211,0.34979077556716615,138.5771026911033
146,300.260009765625,105.63999938964844,0.35182840189776926,137.04660028559286
147,299.9549865722656,105.7699966430664,0.35261956419445667,136.66924274612649
148,301.0050048828125,106.29000091552734,0.3531170551695918,137.00075676901994
149,303.2744140625,105.75060272216797,0.34869609112615235,139.38054518866275
150,303.05999755859375,105.5999984741211,0.3484458500785949,139.35726715859295
151,303.3900146484375,104.98999786376953,0.3460562075038294,140.23489699689122
152,295.010009765625,104.55000305175781,0.3543947648922797,133.87907939191996
153,294.6099853515625,104.26000213623047,0.3538916103329473,133.84467824346308
154,298.4574890136719,106.55000305175781,0.3570022766186206,134.67483221173276
155,300.010009765625,107.13970184326172,0.3571204238383973,135.34415891619085
156,298.70001220703125,106.26000213623047,0.3557415393159772,135.1615086843613
157,294.8500061035156,105.52999877929688,0.3579107905537825,132.76932778846776
158,295.5799865722656,105.80000305175781,0.3579403473106628,133.09130531113215
159,294.9892883300781,106.08999633789062,0.359640165032641,132.3222819402817
160,294.6099853515625,106.0199966430664,0.35986559150923264,132.08468373662714
161,294.49200439453125,105.26000213623047,0.35742906620722215,132.74900091821414
162,298.82000732421875,106.36000061035156,0.3559333311137741,135.15882093007437
163,299.1099853515625,106.3499984741211,0.35555482492208124,135.40398238976977
164,297.1199951171875,106.62000274658203,0.3588449262882153,133.52018426711936
165,294.3900146484375,106.63999938964844,0.36224054513872905,131.28629450261772
166,297.67999267578125,107.69999694824219,0.36179790243929444,132.89432325695375
