,tsla,nvda,Ratio,Spread
345,283.010009765625,240.5063934326172,0.8498158550356321,-40.418198056179634
346,287.9049987792969,242.4803924560547,0.8422236275304691,-38.91916603739604
347,289.8299865722656,242.4499969482422,0.8365248876268025,-37.52297740069106
348,291.7416687011719,242.8300018310547,0.8323459686514068,-36.546629622035496
349,293.2966613769531,242.13999938964844,0.8255804830947029,-34.75334833396978
350,287.6666564941406,238.15499877929688,0.8278853089257766,-34.76287798124524
351,285.4800109863281,237.88999938964844,0.8332982704033915,-36.049319811537245
352,284.1700134277344,237.5800018310547,0.8360488109399772,-36.668775245283754
353,285.73333740234375,240.8300018310547,0.8428488044849304,-38.809585280259896
354,284.0482482910156,238.4550018310547,0.8394876689637271,-37.63016851368606
355,280.8800048828125,236.86590576171875,0.8432992795643922,-38.28896466132322
356,279.7933349609375,237.14999389648438,0.8475898610293678,-39.344053172346875
357,281.02972412109375,231.3300018310547,0.8231513679007713,-32.64683381968631
358,277.5433349609375,228.7700958251953,0.8242680223518727,-32.56054680350532
359,279.3999938964844,229.9575958251953,0.8230408047553247,-32.43073350617995
360,282.4483337402344,228.80999755859375,0.8100950518229242,-29.120315491666123
361,280.2966613769531,226.4302978515625,0.8078237419569219,-28.267243298913872
362,277.8066711425781,226.60499572753906,0.8156931393891512,-30.20860773014893
363,279.5199890136719,229.36000061035156,0.8205495478862984,-31.74800086493072
364,279.0975646972656,219.01010131835938,0.7847080341095684,-21.697814761215415
365,279.7361755371094,220.66000366210938,0.7888146866898056,-22.894617973490046
366,276.6199951171875,218.8000030517578,0.7909768162603907,-23.245570503446334
367,272.7933349609375,218.59500122070312,0.8013209019641361,-25.755612459735648
368,272.44000244140625,218.63999938964844,0.8025253172454783,-26.051302674185212
369,270.4599914550781,215.75,0.797715029270179,-24.56613577757192
370,268.1933288574219,213.3800048828125,0.7956201065547404,-23.804354599560686
371,268.86334228515625,209.47999572753906,0.7791318591337184,-19.428965943592306
372,271.2533264160156,212.3249053955078,0.7827550290383148,-20.57816412912324
373,279.4333190917969,218.72500610351562,0.782744902484811,-21.174499311042798
374,279.2799987792969,220.42990112304688,0.7892792254601922,-22.988176230436995
375,278.06329345703125,219.0,0.7875904700590831,-22.42153656551837
376,276.6666564941406,217.16000366210938,0.7849157047470535,-21.572464520467793
377,274.73333740234375,215.10000610351562,0.7829410443498679,-20.884171209130887
378,284.2467041015625,228.74009704589844,0.8047238323093051,-27.77445785774781
379,284.3766784667969,225.47279357910156,0.7928666822987287,-24.414936613977137
380,283.260009765625,227.89999389648438,0.8045611312555323,-27.63442166421932
381,284.27996826171875,230.67999267578125,0.8114535613828712,-29.690752319069578
382,284.20166015625,229.99009704589844,0.8092496606791572,-29.056416871322188
383,286.30670166015625,231.25999450683594,0.8077351775765965,-28.83277175886254
384,286.30999755859375,230.13999938964844,0.8038140524329751,-27.710438177267168
385,278.2831115722656,222.88999938964844,0.8009469138473663,-26.155573370629998
386,272.71826171875,219.5,0.8048599261987335,-26.713876261656498
387,274.2366638183594,221.9199981689453,0.8092280407696835,-28.056556869359458
388,271.3466491699219,222.2899932861328,0.819210386294216,-30.477038833088006
389,276.6700134277344,225.8800048828125,0.8164238765319317,-30.290083971866597
390,278.0433654785156,226.1199951171875,0.8132544170871783,-29.555670731394276
391,279.4266662597656,226.5800018310547,0.8108746558226384,-29.034215272294052
392,272.5666809082031,226.79989624023438,0.8320895844074853,-34.12132021220522
393,268.01666259765625,222.8300018310547,0.8314035391357913,-33.379697570554995
394,265.92059326171875,223.22560119628906,0.8394445817763,-35.262473689409475
395,268.5281677246094,225.8300018310547,0.8409918547638398,-36.016780885920625
396,266.8833312988281,225.94000244140625,0.8465871635438416,-37.29380515049466
397,265.0533142089844,222.7841033935547,0.8405256280549579,-35.43631681267142
398,265.1166687011719,221.0,0.8335952661245216,-33.60726293660967
399,263.0333251953125,220.8300018310547,0.8395514205931123,-34.91541245037625
400,259.9966735839844,218.8800048828125,0.8418569432662748,-35.11994236237767
401,257.93499755859375,215.49989318847656,0.8354814012376222,-33.20260511251665
402,253.3490447998047,212.7509002685547,0.839754104605642,-33.7073797179046
403,254.3699951171875,211.9040069580078,0.833054255712763,-32.13611457834391
404,254.8433380126953,213.69000244140625,0.8385151603639764,-33.58626976360851
405,255.3400115966797,213.19000244140625,0.8349259526867604,-32.7338761688096
406,261.0666809082031,222.3249969482422,0.8516023422629586,-37.80575628827809
407,266.2933349609375,227.0399932861328,0.8525936006601038,-38.812402776680344
408,264.2200012207031,227.78529357910156,0.8621046572050856,-41.02874874934447
409,262.7277526855469,226.49000549316406,0.8620711104100411,-40.79222207652383
410,264.5753479003906,226.9698944091797,0.8578648623553207,-39.961228472335776
411,267.0,229.61000061035156,0.8599625491024403,-40.88102600989059
412,267.1933288574219,229.6300048828125,0.8594151877397594,-40.76386202287067
413,278.51165771484375,244.9250030517578,0.879406646965299,-48.02842184801135
414,278.9200134277344,242.5,0.869424882853842,-45.31368738660659
415,278.0652160644531,242.83999633789062,0.8733202943355648,-46.26016879917107
416,274.5232849121094,236.5399932861328,0.861639089601681,-42.473192192854114
417,270.0299987792969,234.51499938964844,0.868477578231314,-43.63621816265611
418,278.7633361816406,242.92999267578125,0.8714560386717766,-45.85484373155511
419,280.2099914550781,245.0,0.8743442684815084,-46.89843840029938
420,283.5367126464844,245.0399932861328,0.8642266851405958,-44.57809830584678
421,282.8333435058594,242.99000549316406,0.8591278612386454,-43.027156139478635
422,285.38665771484375,242.96499633789062,0.8513537328036529,-41.190551598887865
423,287.8320617675781,244.86000061035156,0.8507043972331125,-41.35052354294142
424,289.4033508300781,244.1999969482422,0.8438050086421532,-39.575678626822466
425,289.8333435058594,247.00010681152344,0.852214254660213,-42.07070549466799
426,290.6433410644531,247.69000244140625,0.852212892730539,-42.18590184386555
427,298.8299865722656,260.8399963378906,0.8728708899995619,-49.52740998054948
428,297.8333435058594,261.2550048828125,0.8771852130709225,-50.64954417947702
429,299.23834228515625,259.7654113769531,0.8680886593383552,-48.16309360996503
430,299.9548034667969,261.7401123046875,0.8725985024395867,-49.62946001081191
431,298.94000244140625,262.07000732421875,0.8766642308955818,-50.67936389104041
432,300.6999816894531,264.75,0.8804456804836778,-52.110638225460846
433,301.7966613769531,264.67999267578125,0.8770143164214397,-51.26252852196755
434,303.60333251953125,259.94989013671875,0.8562155361716782,-45.25057939576591
435,310.1222839355469,267.5299987792969,0.862659707597465,-48.20544361648369
436,308.8733215332031,267.5799865722656,0.8663098037863443,-49.141579505350435
437,303.9766540527344,261.4100036621094,0.8599673697861006,-46.445818522067455
438,308.4850158691406,265.5899963378906,0.8609494227445845,-47.4270950221411
439,308.0466613769531,266.44000244140625,0.8649339072542868,-48.588116891905045
440,307.1216735839844,267.4100036621094,0.8706972729783085,-50.21440381819063
441,313.0133361816406,269.6549987792969,0.8614808623451652,-48.27922058670312
442,315.3454284667969,271.3999938964844,0.8606435020035829,-48.36957891572827
443,313.510009765625,267.45001220703125,0.8530828486368667,-45.72184041963858
444,317.5033264160156,267.5799865722656,0.8427627817091375,-43.01852697779337
445,325.5733337402344,265.6600036621094,0.815975929632099,-35.37281396493783
446,329.5977478027344,263.9082946777344,0.8006981128878483,-30.765753328745905
447,331.3933410644531,265.2900085449219,0.800529086350366,-30.873480447498526
448,342.0,261.59991455078125,0.7649120308502376,-19.657883202070014
449,345.3933410644531,264.19000244140625,0.7648960504774361,-19.840370417642863
450,342.2366638183594,263.55999755859375,0.7701103517607835,-21.450051473927648
451,332.7133483886719,259.302490234375,0.779357039596322,-23.94940714159488
452,333.37103271484375,259.3699951171875,0.7780219925078053,-23.550280112793804
453,333.61407470703125,258.0899963378906,0.7736184289123192,-22.097841235863843
454,332.9100036621094,256.2300109863281,0.769667502230998,-20.73739951721105
455,331.0633239746094,266.760009765625,0.8057673274194636,-32.577631243264975
456,337.2347412109375,277.7200012207031,0.8235213258974158,-39.15895635682499
457,334.39666748046875,277.6499938964844,0.8303013184564741,-41.10258341227491
458,335.72003173828125,279.8299865722656,0.8335218638082756,-42.34363932339507
459,336.22833251953125,280.0050048828125,0.8327823023853804,-42.15801445637079
460,338.2987365722656,281.0050048828125,0.8306416031287355,-41.689047411704635
461,337.9066467285156,281.5350036621094,0.8331739147123172,-42.4972368457466
462,335.8399963378906,278.5450134277344,0.8293979766111258,-40.97355040490656
463,333.78533935546875,274.5400085449219,0.8225046944094425,-38.42633990347811
464,335.3000183105469,276.42010498046875,0.8243963313012856,-39.2317603764656
465,334.4120178222656,275.2401123046875,0.8230568808414446,-38.68181063902283
466,335.5299987792969,277.9599914550781,0.828420685084296,-40.608474001280555
467,333.1600036621094,274.19000244140625,0.8229979572202477,-38.52001411646167
468,336.9800109863281,277.1700134277344,0.8225117347953902,-38.78970154915801
469,357.4245300292969,277.635009765625,0.7767654048334852,-24.74915986005958
470,362.7449951171875,276.5840148925781,0.7624750682038371,-19.923255511692606
471,358.5916748046875,272.80999755859375,0.7607817379117459,-19.09604977081118
472,363.6033020019531,277.7699890136719,0.7639369265468876,-20.50025452656705
473,364.1866760253906,278.2349853515625,0.7639900184930553,-20.551342664262553
474,364.0099792480469,280.8699951171875,0.7715997119018394,-23.311720105087876
