,goog,tsla,Ratio,Spread
326,138.8800048828125,333.37103271484375,2.400424978355549,-26.796757801265365
327,138.98001098632812,333.61407470703125,2.40044645513699,-26.817437611943724
328,138.54251098632812,332.9100036621094,2.4029447805732502,-27.086141737639828
329,138.32275390625,331.0633239746094,2.393411890851969,-25.72808886400845
330,140.18600463867188,337.2347412109375,2.4056234577778066,-27.75659398802612
331,140.1064910888672,334.39666748046875,2.3867321555313707,-25.09531753064926
332,140.25,335.72003173828125,2.393725716493984,-26.099591718719076
333,140.27850341796875,336.22833251953125,2.396862843038163,-26.544515546191356
334,140.88987731933594,338.2987365722656,2.4011571520180253,-27.25553822472262
335,141.3614959716797,337.9066467285156,2.390372600444266,-25.814810860971825
336,141.1855010986328,335.8399963378906,2.378714483601764,-24.13948262498929
337,139.89749145507812,333.78533935546875,2.385927981150749,-24.94869718717667
338,140.50051879882812,335.3000183105469,2.3864681865740094,-25.122553222931977
339,140.62574768066406,334.4120178222656,2.37802837202797,-23.956108056035312
340,141.38174438476562,335.5299987792969,2.3732201087161817,-23.393140846623005
341,140.61898803710938,333.1600036621094,2.3692390929039284,-22.719123869392725
342,141.57150268554688,336.9800109863281,2.3802813743865885,-24.421228108697285
343,140.84649658203125,357.4245300292969,2.537688467253618,-46.4777881483438
344,140.91700744628906,362.7449951171875,2.574174698220503,-51.641473309357146
345,140.29550170898438,358.5916748046875,2.555974143408503,-48.870062367478006
346,140.9082489013672,363.6033020019531,2.5804259497715267,-52.51925469705015
347,141.3470001220703,364.1866760253906,2.576543369939731,-52.12707147802286
348,141.82601928710938,364.0099792480469,2.5665951923190717,-50.885282243535876
349,141.94900512695312,364.0433349609375,2.564606455926568,-50.64518065051198
350,143.0500030517578,361.8833312988281,2.5297680781446252,-46.03712340176953
351,143.77749633789062,365.933349609375,2.5451364707964954,-48.469570499650565
352,143.29849243164062,365.8033447265625,2.5527368677731626,-49.40462414627587
353,143.23974609375,364.6666564941406,2.5458482470044825,-48.398557579830545
354,143.55892944335938,366.4100036621094,2.5523316806752523,-49.43220500522859
355,143.70700073242188,366.6700134277344,2.551511141134056,-49.36298031718179
356,143.3000030517578,366.6086730957031,2.558329834531054,-50.206593672577135
357,143.33074951171875,370.2613525390625,2.583265306296259,-53.79090878945784
358,142.49349975585938,366.0902099609375,2.569171299660522,-51.481379409289396
359,142.71725463867188,367.9466247558594,2.5781509438884447,-52.840278331515215
360,142.86949157714844,368.5013122558594,2.57928622960677,-53.05646911425601
361,142.67599487304688,364.7033386230469,2.5561646789115433,-49.68873271423531
362,142.4239959716797,362.5699768066406,2.545708497595699,-48.115686953310224
363,142.67098999023438,364.663330078125,2.5559739236623065,-49.6598524567005
364,141.0800018310547,364.5566711425781,2.5840421492136065,-53.09073358514741
365,141.61700439453125,365.2492980957031,2.5791344736974806,-52.58934280042502
366,141.19400024414062,364.6600036621094,2.582687671087797,-52.94059221727327
367,141.27700805664062,363.4466552734375,2.572581768773903,-51.5426771109618
368,141.04750061035156,363.6666564941406,2.578327548665906,-52.27298494931507
369,141.28900146484375,362.4066467285156,2.565002533609748,-50.476001389557446
370,139.61898803710938,359.1999816894531,2.572715837146601,-50.982588001006214
371,139.78599548339844,361.2866516113281,2.584569722896426,-52.69791918674793
372,140.46749877929688,362.123291015625,2.5779863253961306,-52.01924548260059
