,adbe,avgo,Ratio,Spread
1213,391.82000732421875,523.1029052734375,1.3350591993649428,19.619090300013468
1214,395.260009765625,523.8800048828125,1.3254060414395439,23.619036273744328
1215,395.29998779296875,523.5999755859375,1.3245636017073787,23.954582059981377
1216,395.0400085449219,523.385009765625,1.3248911463257738,23.808521183442522
1217,394.5899963378906,522.219970703125,1.323449594641887,24.34863951912361
1218,393.1199951171875,529.5700073242188,1.3470950699578537,14.957248870487563
1219,393.2799987792969,529.530029296875,1.346445359388947,15.219419992277965
1220,392.0799865722656,526.1900024414062,1.3420475935065928,16.893019828896072
1221,393.8800048828125,527.6375122070312,1.3395894832590307,17.94515059154709
1222,393.20001220703125,525.4099731445312,1.336240988893682,19.228400786898206
1223,395.42999267578125,526.6300048828125,1.3317907458643483,21.10508730103176
1224,396.3599853515625,529.25,1.335276061054869,19.776549815003833
1225,379.1300048828125,512.280029296875,1.351198857118203,12.819676425077903
1226,375.45001220703125,507.8800048828125,1.3527233676124013,12.10938680386427
1227,375.9100036621094,508.17999267578125,1.3518661055175434,12.448177670555213
1228,377.8349914550781,511.1690979003906,1.3528897785031246,12.13225497722762
1229,375.0899963378906,509.6499938964844,1.3587405659237541,9.839452732937405
1230,370.7699890136719,504.1600036621094,1.3597648639343323,9.330356554249322
1231,368.32000732421875,503.489990234375,1.3669906065981667,6.598141522079531
1232,369.75,505.385009765625,1.3668289648833671,6.688917150010313
1233,371.4750061035156,508.69000244140625,1.369378811719177,5.779397421702144
1234,372.4599914550781,510.04998779296875,1.3694087942180635,5.787236658421549
1235,372.5400085449219,510.3500061035156,1.3699199935514477,5.598336084597819
1236,370.989990234375,506.6094970703125,1.3655610943849432,7.186373353535502
1237,368.7699890136719,505.5199890136719,1.370827356005182,5.193021090602103
1238,371.6383972167969,511.1000061035156,1.3752615712777472,3.5962909229854327
1239,323.2049865722656,505.8800048828125,1.5651986383251622,-58.441977097430524
1240,309.4800109863281,501.19000244140625,1.6194583968253358,-72.8115058970066
1241,307.1127014160156,498.8500061035156,1.624322288864804,-73.75893330933944
1242,313.5000915527344,505.2200012207031,1.611546582708794,-71.25891907045433
1243,308.8699035644531,502.4200134277344,1.626639590421902,-74.88875784159892
1244,307.3599853515625,497.79998779296875,1.6195992045730299,-72.36551796573859
1245,309.0,500.04998779296875,1.6182847501390574,-72.33807053190928
1246,295.510009765625,494.94000244140625,1.6748671316885448,-85.96129812507893
1247,295.125,491.2300109863281,1.664481189280231,-82.78596012785697
1248,292.3500061035156,490.8800048828125,1.6790832722233675,-86.28951882905913
1249,294.2900085449219,494.95001220703125,1.6818444318046892,-87.66549315423565
1250,294.95001220703125,497.6700134277344,1.6873029083938804,-89.46896375247086
1251,296.2200927734375,499.010009765625,1.6845920379455501,-89.0452308886289
1252,299.5,502.739990234375,1.6785976301648582,-88.22048600571837
1253,295.98541259765625,500.2749938964844,1.6902015187367574,-90.63610952574338
1254,295.739990234375,498.82000732421875,1.6866843301404795,-89.5219348675614
1255,294.75,497.364990234375,1.6874130287849873,-89.44169252191976
1256,296.8800048828125,500.57000732421875,1.686102125745413,-89.6888249617533
1257,295.04010009765625,498.7699890136719,1.690515929355306,-90.44383653184592
1258,296.0150146484375,501.537109375,1.6942961828157637,-91.85711737473137
1259,296.0400085449219,501.8500061035156,1.695210078428854,-92.13530570264582
1260,290.5,493.6300048828125,1.6992427018341223,-91.60857615853745
1261,292.4599914550781,493.739990234375,1.6882308851130958,-88.99677026637674
1262,291.6600036621094,492.9200134277344,1.6900500831056233,-89.2877165529702
1263,290.5400085449219,491.68499755859375,1.6923142531076638,-89.60800996595718
1264,290.75,492.010009765625,1.6922098358233018,-89.64141227733937
1265,290.9150085449219,493.7699890136719,1.6972998109770125,-91.17224827501938
1266,291.1199951171875,492.9599914550781,1.693322340351929,-90.07759097669673
1267,292.94000244140625,495.3500061035156,1.6909606130101515,-89.94020685217718
1268,293.29998779296875,494.6600036621094,1.686532643196952,-88.75030173251541
1269,294.3800048828125,494.2875061035156,1.679079753736273,-86.87801138115616
1270,293.1099853515625,493.32000732421875,1.6830542525957277,-87.67415704559282
1271,290.70001220703125,487.4599914550781,1.6768488853998327,-85.16081076799479
1272,289.8299865722656,487.9800109863281,1.6836767539395243,-86.88901319636129
1273,286.260009765625,481.7900085449219,1.6830503462198119,-85.65654849698676
1274,285.1000061035156,478.248291015625,1.6774755551635452,-83.72569911817901
1275,283.7200012207031,475.0400085449219,1.674326823985147,-82.43379500545431
1276,286.760009765625,475.92999267578125,1.6596804870552517,-79.10219509982493
1277,286.0199890136719,477.8357849121094,1.6706377290618966,-82.03563569534411
1278,285.4100036621094,476.3699951171875,1.6690725237548136,-81.41691734268834
1279,288.17999267578125,480.7099914550781,1.6680894013204588,-81.91029903178132
1280,286.9700012207031,477.4100036621094,1.6636233809503402,-80.29059619050405
1281,287.2900085449219,472.364990234375,1.6442096006987101,-74.8011965738762
1282,285.82000732421875,470.2900085449219,1.6454061874382724,-74.76756891196537
1283,283.0806884765625,466.2349853515625,1.6470038555461692,-74.51656947289307
1284,283.6734924316406,465.2799987792969,1.640195545910655,-72.73837083508714
1285,282.7200012207031,463.54998779296875,1.6396080425562185,-72.3324493095436
1286,283.1499938964844,465.5249938964844,1.644093250684207,-73.71033530992086
1287,284.69000244140625,468.8399963378906,1.646843908522518,-74.88676629890197
1288,284.8699951171875,471.6600036621094,1.6557026424214376,-77.45682228399299
1289,280.6099853515625,464.54998779296875,1.6555005596502805,-76.2625757148728
1290,279.5,462.7799987792969,1.655742392770293,-76.03399567148823
1291,278.87359619140625,462.2799987792969,1.6576685820840806,-76.40386701549237
1292,278.9700012207031,462.5404968261719,1.65802951859415,-76.53048980290576
1293,278.67999267578125,465.1400146484375,1.6690829154340674,-79.53273525754354
1294,276.8699951171875,461.69000244140625,1.6675335377023868,-78.59622151162908
1295,279.7900085449219,463.3800048828125,1.6561706663246132,-76.2312741426317
1296,277.6000061035156,461.93701171875,1.664038190065803,-77.82948274162202
1297,275.4800109863281,457.92999267578125,1.6622984405881558,-76.76644803682323
1298,276.0,458.7900085449219,1.6622826396555141,-76.90436813326163
1299,275.20001220703125,460.7300109863281,1.6741642098464873,-79.95529366790201
1300,276.0299987792969,462.5199890136719,1.675614936996342,-80.59269004549036
1301,277.57000732421875,464.92999267578125,1.6750008300886579,-80.86412225517459
1302,279.6099853515625,464.0,1.6594543267709059,-77.10126297794646
1303,279.05999755859375,463.010009765625,1.6591772873803154,-76.87502707279496
1304,279.2200012207031,464.54998779296875,1.663741801310916,-78.192812005692
1305,280.8500061035156,465.1700134277344,1.656293406866732,-76.54929051846862
1306,281.19000244140625,463.81500244140625,1.6494718816969853,-74.722135098566
1307,281.7200012207031,467.1400146484375,1.6581712786607363,-77.31115122105477
1308,281.3900146484375,465.5400085449219,1.6544297391879996,-76.16938923927334
1309,276.54998779296875,455.8999938964844,1.648526537769298,-73.25059915560063
1310,278.15960693359375,452.3900146484375,1.6263684710930675,-67.50538195723941
1311,278.15631103515625,450.6499938964844,1.6201321919297622,-65.76993813723372
1312,278.4800109863281,448.8699951171875,1.6118571438121088,-63.54042531010229
1313,276.739990234375,446.8999938964844,1.6148732010794626,-63.98674750463259
1314,276.7991943359375,447.6000061035156,1.6170567518353598,-64.60454445260864
1315,278.3699951171875,450.20001220703125,1.6172720483668046,-65.02321869319046
1316,281.2300109863281,454.9100036621094,1.617572755008087,-65.76157745090755
1317,283.70001220703125,456.3550109863281,1.6085829797331879,-63.77655569154159
1318,281.57000732421875,451.989990234375,1.6052490623190672,-62.369419589598735
1319,282.1700134277344,451.0799865722656,1.5986106428980633,-60.62620241806398
1320,278.94000244140625,448.2099914550781,1.6068329659860403,-62.24164298833328
1321,277.32000732421875,447.0249938964844,1.6119464232303338,-63.30629223988829
1322,275.2200012207031,443.9800109863281,1.6131822142907912,-63.17753542322099
1323,281.6000061035156,457.0400085449219,1.6230113588027226,-67.37777934362428
1324,282.2250061035156,457.1199951171875,1.6197005411686418,-66.58984400586341
1325,281.3450012207031,455.5350036621094,1.6191330988133024,-66.22689338074251
1326,284.3599853515625,457.4800109863281,1.6088058607146583,-63.985067448073195
1327,285.239990234375,459.739990234375,1.6117655517258203,-65.02300586616285
1328,286.55999755859375,459.67999267578125,1.6041317580685321,-63.12994706263321
1329,285.17999267578125,456.79998779296875,1.6017953556521085,-62.166320537799194
1330,293.2099914550781,476.32000732421875,1.6245012830580652,-70.53528106418865
1331,295.25,474.75,1.6079593564775614,-66.13236475952355
1332,296.6700134277344,475.2300109863281,1.6018808422715396,-64.64043851951168
1333,292.80499267578125,475.375,1.623520813821559,-70.15268544250709
1334,293.4700012207031,476.5899963378906,1.6239819891487741,-70.44420100200965
1335,294.1545104980469,478.2099914550781,1.6257102114307145,-71.11363516012032
1336,294.989990234375,479.989990234375,1.6271399238089879,-71.73342406974943
1337,289.67010498046875,473.6600036621094,1.6351704767533615,-72.79102945059121
1338,291.4800109863281,475.8800048828125,1.6326334120562855,-72.49765934717611
1339,293.4549865722656,480.7200012207031,1.6381388056676351,-74.5950563525826
1340,294.9800109863281,483.70001220703125,1.6397721682553263,-75.4573039752464
1341,295.7699890136719,483.8699951171875,1.6359671808853493,-74.53026410400882
1342,297.8299865722656,486.4549865722656,1.6333311234738008,-74.25458833395957
1343,297.4100036621094,484.5799865722656,1.6293331784589264,-72.96280812525764
1344,297.6300048828125,480.510009765625,1.6144541944110065,-68.58732111112771
1345,301.8900146484375,485.32000732421875,1.6076053654487132,-67.48154936970103
1346,301.1099853515625,483.44000244140625,1.6055263058678158,-66.6847517144411
1347,300.5799865722656,484.5799865722656,1.6121498709820543,-68.56073192984296
1348,299.6700134277344,481.1700134277344,1.6056662057172058,-66.41441579279073
1349,299.1099853515625,480.30999755859375,1.6057972688342572,-66.33209694371338
1350,298.42401123046875,479.32000732421875,1.6061710495341024,-66.2947018603919
1351,292.1400146484375,468.39349365234375,1.6033185122415032,-64.09461749423939
1352,290.6499938964844,466.07000732421875,1.603543840053238,-63.84028581733723
1353,288.7699890136719,463.6099853515625,1.6054645669208125,-63.99097973068062
1354,289.45001220703125,462.7699890136719,1.5987907047752075,-62.20665214664153
1355,288.30999755859375,461.1099853515625,1.5993548238224042,-62.12975839034026
1356,287.1700134277344,460.0299987792969,1.6019430207501881,-62.632839344883266
1357,288.9100036621094,460.6700134277344,1.5945104274288284,-60.85657295708681
1358,285.3299865722656,446.1099853515625,1.563487913453415,-51.26802531378648
1359,285.1499938964844,436.510009765625,1.5308084134979416,-41.918001066976714
1360,284.5799865722656,433.7799987792969,1.5242814647794767,-39.97954503355264
1361,284.55999755859375,435.2074890136719,1.5294050209009378,-41.434793512608664
1362,284.489990234375,438.1700134277344,1.540194834506308,-44.494535351554006
1363,285.7799987792969,439.1650085449219,1.5367240899321357,-43.69812778032694
1364,285.6199951171875,437.3999938964844,1.5314053685808053,-42.15530622633615
1365,283.5,428.6199951171875,1.511887107997134,-36.319291785209245
1366,286.80999755859375,431.239990234375,1.5035737732478276,-34.34277585721638
1367,286.8500061035156,434.0299987792969,1.5130904289493665,-37.077225533776684
1368,286.5899963378906,434.0,1.5143585105751998,-37.40829583033069
1369,285.5899963378906,434.9700012207031,1.5230575538299886,-39.76697210707623
1370,282.8500061035156,427.7099914550781,1.5121441832267366,-36.31191843372754
1371,284.9599914550781,431.0199890136719,1.5125631735626264,-36.691831965991625
1372,286.82000732421875,432.06610107421875,1.5064015411791518,-35.154986385219885
1373,288.30499267578125,434.1300048828125,1.5058012032799637,-35.15672807751041
1374,288.260009765625,432.92999267578125,1.5018732325298358,-34.01918251576136
1375,289.0299987792969,432.6199951171875,1.4967996296036241,-32.6399204204548
1376,288.5450134277344,434.0408020019531,1.5042394836279434,-34.73421436548118
1377,286.70001220703125,432.56500244140625,1.508772180062006,-35.82052197849252
1378,286.0450134277344,430.57000732421875,1.5052526249788891,-34.735107327852845
1379,285.2699890136719,420.8599853515625,1.4753041033397745,-26.10134242682902
1380,293.79998779296875,435.0299987792969,1.4807012146162795,-28.425959321681702
1381,290.7749938964844,433.2633972167969,1.4900297697918214,-30.86009132791007
1382,294.5199890136719,439.6109924316406,1.4926355046523974,-32.00710523851494
1383,292.760009765625,435.1700134277344,1.4864394005729082,-30.010165515523667
