,jpm,spgi,Ratio,Spread
147,136.72000122070312,416.7099914550781,3.0479080436987074,-33.3355943298711
148,135.27999877929688,414.4800109863281,3.0638676428622187,-35.17325358163069
149,135.4499969482422,416.2149963378906,3.0728313452597096,-36.42803745260366
150,135.50999450683594,416.2900085449219,3.0720243924437742,-36.33357185497837
151,135.8800048828125,416.4800109863281,3.0650573743025293,-35.478389330688884
152,136.1300048828125,414.5299987792969,3.0451038265674417,-32.8221908694633
153,135.97999572753906,414.29998779296875,3.046771590014571,-33.01591749696482
154,134.2899932861328,415.45001220703125,3.093678106914701,-38.9397678857313
155,134.33999633789062,413.94500732421875,3.0813236460351567,-37.29351713164223
156,133.61500549316406,411.9101867675781,3.0828138295339294,-37.30661085085225
157,134.10000610351562,414.7349853515625,3.092729056488012,-38.76140637761202
158,133.85000610351562,413.3699951171875,3.0883076299413794,-38.10260239743141
159,133.3000030517578,413.06500244140625,3.0987621379199903,-39.3512281013154
160,133.3800048828125,411.8800048828125,3.088019116843561,-37.94024576911684
161,131.49000549316406,408.8599853515625,3.1094377387703314,-40.25899259548865
162,131.52000427246094,408.2099914550781,3.103786330552557,-39.524259796676034
163,131.42999267578125,409.7799987792969,3.1178575790547653,-41.34852693006789
164,131.61000061035156,411.5899963378906,3.127345904027887,-42.65004797250376
165,131.2100067138672,410.0899963378906,3.125447567670534,-42.27992873833935
166,131.0800018310547,410.3399963378906,3.130454612495095,-42.897159383220725
167,131.5399932861328,411.05999755859375,3.1249811353147487,-42.31780203343172
168,128.80999755859375,414.7900085449219,3.2201693688895543,-53.759354846949435
169,129.11000061035156,413.94000244140625,3.2061033265010925,-52.06191661796291
170,129.27000427246094,410.114990234375,3.1725456539011185,-47.7849348637221
171,130.3000030517578,413.04998779296875,3.169992157474447,-47.810448503210154
172,130.64999389648438,413.9100036621094,3.168082839636835,-47.681829477791695
173,131.2100067138672,414.7099914550781,3.1606582595445345,-46.89992385552685
174,131.1199951171875,414.9800109863281,3.1648873279429495,-47.424203195950014
175,132.66000366210938,413.07000732421875,3.1137494038996523,-41.164068070777915
176,132.97999572753906,412.7200012207031,3.1036247140985,-39.91016597503145
177,133.67999267578125,415.114990234375,3.10528884633595,-40.327842097396825
178,133.25,415.5899963378906,3.118874268952275,-42.017467869076285
179,133.13999938964844,413.8800048828125,3.1086075317722397,-40.618200089931264
180,133.8699951171875,414.739990234375,3.0980802671376715,-39.41613364785897
181,133.52999877929688,413.06500244140625,3.0934247451326256,-38.701548816069334
182,134.5,402.6499938964844,2.9936802520184713,-25.546534156698296
183,133.57000732421875,405.3900146484375,3.035037751135413,-30.913547085203984
184,133.80499267578125,406.4100036621094,3.0373306371823428,-31.26976239803403
185,133.25999450683594,406.8699951171875,3.0532043515604075,-33.269234714993246
186,133.39999389648438,407.489990234375,3.0546477427171306,-33.4937672539194
187,133.40499877929688,406.989990234375,3.050785157666339,-32.97962973613525
188,133.02999877929688,405.7799987792969,3.050289427217881,-32.82891766234869
189,133.3699951171875,405.9200134277344,3.0435632322777457,-32.00852934960707
190,133.35000610351562,405.07501220703125,3.037682742155884,-31.21999199566383
191,132.6300048828125,403.625,3.043240482096263,-31.803799648887402
192,132.39999389648438,402.82000732421875,3.0424473254822018,-31.648529360540604
193,131.4199981689453,398.67999267578125,3.033632614750635,-30.276752759932233
194,131.0,396.7449951171875,3.028587748986164,-29.528142936122403
195,131.4600067138672,397.510009765625,3.023809443664765,-28.993755911879386
196,127.04000091552734,394.1199951171875,3.102329914018574,-38.089130616429685
197,128.35499572753906,394.7300109863281,3.0752991634562243,-34.98462144325205
198,127.1500015258789,393.75,3.096736101256435,-37.40841182330914
199,127.19999694824219,397.1000061035156,3.121855468794516,-40.61719360664242
200,127.05999755859375,396.9700012207031,3.1242720671204194,-40.882651302091205
201,127.05000305175781,397.1300048828125,3.1257772164006097,-41.07088689758055
202,127.19999694824219,396.3599853515625,3.1160376954477584,-39.87717285468929
203,126.55000305175781,391.3800048828125,3.092690600115921,-36.73325940596928
204,126.98500061035156,393.989990234375,3.1026498274651955,-38.11448757158374
205,125.91999816894531,390.989990234375,3.105066676619456,-38.12284791080182
206,125.5999984741211,390.0,3.1050955791242028,-38.03677521975183
207,125.95999908447266,389.3800048828125,3.0912988862573925,-36.39987017243689
208,126.27999877929688,387.94000244140625,3.0720621332869977,-34.05595018770563
209,126.12000274658203,387.42999267578125,3.071915510930172,-33.997888418196084
210,126.91999816894531,389.7699890136719,3.070989557491504,-34.07810167332124
211,127.4749984741211,388.57000732421875,3.0482056244393916,-31.31038563751289
212,127.5199966430664,387.4800109863281,3.038582349330672,-30.093280946129905
213,128.7899932861328,389.17999267578125,3.0218185648254505,-28.205845946757133
214,128.57000732421875,390.8299865722656,3.0398223870882903,-30.477244092919218
215,128.35000610351562,388.8999938964844,3.0299959127608647,-29.168698769004063
216,128.5,390.4100036621094,3.038210145230423,-30.255014022987805
217,130.4600067138672,396.1099853515625,3.0362560552394804,-30.418476514594285
218,130.97999572753906,395.7900085449219,3.021759210988472,-28.62966333280505
219,130.44000244140625,394.6199951171875,3.02529889398347,-28.984993249167612
220,130.5399932861328,394.70001220703125,3.0235945496173087,-28.782561698646614
221,130.5989990234375,395.019287109375,3.024673160308711,-28.935160438577693
222,131.10000610351562,397.05999755859375,3.028680237017518,-29.56065363497552
223,131.1699981689453,395.5,3.0151711940302155,-27.80294633834532
224,132.55999755859375,400.7250061035156,3.0229708319539492,-29.101558592627864
225,133.0500030517578,400.25,3.0082674995828347,-27.24241191410348
226,132.66700744628906,400.95001220703125,3.0222285097472934,-29.024289049130257
227,132.28570556640625,401.3599853515625,3.034038966138207,-30.51134277874834
228,132.0,398.5950012207031,3.019659100156842,-28.553404022860573
229,131.94000244140625,398.55999755859375,3.0207669409100686,-28.687878165407735
230,131.60000610351562,397.239990234375,3.018540819229969,-28.3282738023681
231,132.30499267578125,399.4750061035156,3.0193494442227538,-28.571882364606406
232,132.0800018310547,394.8500061035156,2.9894760798729667,-24.582424132068265
233,131.72000122070312,392.4800109863281,2.979653866907496,-23.229338945008205
234,131.75,393.54998779296875,2.9870966815405597,-24.21457684932059
235,131.00999450683594,391.8599853515625,2.9910693976184826,-24.614901237117433
236,130.875,391.0299987792969,2.98781278914458,-24.166239725328946
237,130.4600067138672,390.75,2.9951707794789297,-25.058491163031785
238,129.47000122070312,384.6300048828125,2.970804056973374,-21.73500912924177
239,128.63999938964844,384.5400085449219,2.9892724686678247,-23.989556327539017
240,128.1999969482422,384.8699951171875,3.0021061176200337,-25.562437603536832
241,127.88500213623047,385.7300109863281,3.0162255506351427,-27.312233498218315
242,127.48999786376953,383.2200012207031,3.005882874280035,-25.918010082833145
243,127.7499008178711,383.05999755859375,2.9985150290230753,-25.023846846279664
244,126.8499984741211,379.7900085449219,2.9940087750367894,-24.29585249370191
245,124.70999908447266,379.1199951171875,3.0400128129292145,-29.67079167778368
246,123.62999725341797,376.1499938964844,3.042546325754974,-29.75152024746276
247,124.41000366210938,374.989990234375,3.0141466055481105,-26.388197369347917
248,124.98999786376953,375.9200134277344,3.007600766882653,-25.67988483180792
249,125.72000122070312,378.17999267578125,3.0081131801126957,-25.87779073512584
250,126.41999816894531,379.8900146484375,3.0049835480994043,-25.610499816475592
251,126.80000305175781,381.010009765625,3.0048107302497664,-25.657078034587382
252,125.70999908447266,378.2650146484375,3.0090288553280224,-25.99106619225628
253,124.02999877929688,376.8299865722656,3.0382164821496893,-29.301610606314252
254,124.23999786376953,377.1099853515625,3.035334770088032,-28.988415518219167
255,123.18000030517578,375.44500732421875,3.0479380288525886,-30.317660312309297
256,123.7300033569336,376.5299987792969,3.043158397830892,-29.849033387722184
257,123.06999969482422,376.0799865722656,3.0558217884523313,-31.263363236289276
258,122.98999786376953,375.6700134277344,3.0544761358874655,-31.079374865362777
259,122.33000183105469,380.0199890136719,3.106515027593174,-37.2936709558044
260,122.5199966430664,380.2799987792969,3.1038198596034445,-37.01699382298577
261,122.80000305175781,383.6099853515625,3.123859737934032,-39.556033687634596
262,122.58000183105469,383.70001220703125,3.130200738093184,-40.26750789496944
263,122.12999725341797,382.55999755859375,3.132399952198372,-40.39864143473832
264,121.66999816894531,381.2799987792969,3.1337224008984466,-40.418022777027744
265,121.38999938964844,380.4200134277344,3.133866177942948,-40.34896258198782
266,121.62000274658203,381.67999267578125,3.1382994906773907,-40.959240993694465
267,121.9000015258789,382.05999755859375,3.134208308254072,-40.54832071998439
268,122.18000030517578,384.4700012207031,3.146750697826085,-42.16739922557113
269,123.0,386.68499755859375,3.143780467956047,-42.06610551174802
270,123.13999938964844,386.55999755859375,3.1391911602615235,-41.54564293348673
271,123.33000183105469,388.30999755859375,3.1485444887167486,-42.75893448394888
272,123.3739013671875,386.9100036621094,3.1360765881155146,-41.23493559153448
273,121.91999816894531,382.3699951171875,3.136236883692657,-40.80183286072398
274,122.31999969482422,384.29998779296875,3.1417592278593656,-41.60192321957547
275,121.76000213623047,381.75,3.1352660422334853,-40.63378573965193
276,121.56999969482422,383.5199890136719,3.1547255900009685,-42.94048320286166
277,120.5,380.3999938964844,3.1568464223774635,-42.84296439158223
278,119.87000274658203,377.6600036621094,3.1505797531390978,-41.88255575938311
279,119.37999725341797,376.8299865722656,3.1565588477300506,-42.43667924454806
280,120.02999877929688,370.0899963378906,3.0833125060543183,-33.86060043904891
281,119.19999694824219,366.0400085449219,3.070805519431851,-32.15515618226803
282,119.5,367.0450134277344,3.071506388516606,-32.31272893960963
283,119.37000274658203,364.8800048828125,3.0567143879307674,-30.514929488474902
284,118.73999786376953,362.4100036621094,3.052130791495403,-29.824531421041822
285,120.03500366210938,365.9599914550781,3.0487772757122698,-29.716458038452256
286,120.44000244140625,367.7699890136719,3.053553483549546,-30.382437313426205
287,121.69999694824219,360.69500732421875,2.9638045716436525,-19.748292419621375
288,123.41000366210938,362.30999755859375,2.935823570272156,-16.532949710344067
289,123.72000122070312,358.95001220703125,2.901309478381779,-12.297300299930694
