,pm,cost,Ratio,Spread
80,98.53821563720703,588.051513671875,5.967750784496982,-63.44739568180855
81,99.09322357177734,587.3550415039062,5.927297753902017,-59.76584278327041
82,98.39217376708984,579.1275634765625,5.885910853514131,-55.3089239367828
83,99.88192749023438,591.2449951171875,5.919439181577613,-59.413794215207325
84,100.33956146240234,600.427490234375,5.983955694876718,-66.1349292925062
85,102.29669952392578,588.6981201171875,5.754810495909491,-43.879195945862215
86,99.9890365600586,568.7611694335938,5.688235320599037,-36.353888082152956
87,99.83323669433594,565.2891845703125,5.662334541963061,-33.719864530819585
88,100.06692504882812,550.9134521484375,5.505449996386085,-18.087251692463404
89,99.01533508300781,551.2317504882812,5.567135131403288,-24.06147087217871
90,99.71640014648438,560.0206298828125,5.616133645620346,-29.079709017266417
91,97.36978149414062,529.8472900390625,5.441598840097498,-11.527533097108197
92,95.9773941040039,527.0870361328125,5.491783154287828,-16.256160896671666
93,96.3863525390625,526.2201538085938,5.459488194610668,-13.189717326463914
94,97.91505432128906,542.5125122070312,5.540644551213573,-21.260034293287525
95,97.14582824707031,515.4979858398438,5.3064346163046885,1.6172504444093425
96,96.3376693725586,501.587158203125,5.206552758333597,11.181438450811335
97,97.24320983886719,497.0731201171875,5.111648627609494,20.56587789204
98,96.27924346923828,499.69384765625,5.190047508172463,12.760508376419104
99,100.89457702636719,487.3574523925781,4.830363204409044,49.920230314153834
100,100.65115356445312,484.4676818847656,4.813334618907583,51.50076064670518
101,101.68326568603516,495.51861572265625,4.87315796143543,46.000987096832525
102,103.12434387207031,492.78826904296875,4.778583315441904,56.48209634482064
103,103.50408935546875,488.7425842285156,4.7219640042433975,62.570222094629095
104,103.38723754882812,427.8876647949219,4.138689406348027,122.79666028568849
105,97.85663604736328,421.4404296875,4.30671282715584,99.49784863927025
106,98.48954010009766,414.96331787109375,4.213272977509642,109.37900132507295
107,100.20325469970703,427.9673767089844,4.2709927735534485,105.59206554137765
108,103.81566619873047,436.16839599609375,4.201373568813331,116.82020984806545
