,t,meta,Ratio,Spread
1010,18.6427001953125,155.72000122070312,8.352867320145887,15.512272717978782
1011,18.679000854492188,157.60000610351562,8.437282450555367,13.984586037482181
1012,18.75,159.2899932861328,8.49546630859375,12.98368527578804
1013,18.770000457763672,159.72000122070312,8.509323245894729,12.747792971182228
1014,18.790000915527344,159.10000610351562,8.467269736641759,13.561903718334257
1015,18.7549991607666,159.4573974609375,8.502127677750307,12.8648007525318
1016,18.80500030517578,163.6999969482422,8.705131310377396,9.107490340138376
1017,18.7450008392334,163.74000549316406,8.735129269797378,8.485153417208345
1018,18.665000915527344,161.67999267578125,8.662201165030766,9.768722226618472
1019,18.674999237060547,161.0500030517578,8.623829163652868,10.495751153738802
1020,18.71500015258789,160.1750030517578,8.558642893177266,11.75898241366783
1021,18.719999313354492,159.94000244140625,8.543803862605277,12.042502675567839
1022,18.450000762939453,158.7899932861328,8.60650334525159,10.572024873861828
1023,18.434999465942383,160.77999877929688,8.721453942883416,8.436423402281683
1024,18.46500015258789,161.9154052734375,8.768773568125038,7.592190353087851
1025,18.520099639892578,160.49989318847656,8.666254302582548,9.542473782547624
1026,18.485000610351562,160.2899932861328,8.671354503303112,9.411717970357039
1027,18.424999237060547,160.1199951171875,8.69036644490697,8.999369249408822
1028,18.3700008392334,160.19000244140625,8.720195706212671,8.395571710615705
1029,18.36989974975586,167.07989501953125,9.0953079382892,1.5046980025662364
1030,18.344999313354492,168.2100067138672,9.169256637225187,0.1329136447564494
1031,18.3617000579834,168.42909240722656,9.172848476739825,0.0759180196756617
1032,18.44499969482422,168.1300048828125,9.115207788807435,1.1834751137483224
1033,18.415000915527344,168.05999755859375,9.126255183451402,0.9623275049056801
1034,18.43000030517578,168.2100067138672,9.126967114950508,0.9578958161629529
1035,18.360000610351562,168.8000030517578,9.193899642714968,-0.3114867147181215
1036,18.30500030517578,168.22000122070312,9.189838755322967,-0.2652936101231447
1037,18.260000228881836,167.94009399414062,9.197157277605607,-0.4221372950381195
1038,18.299999237060547,169.38999938964844,9.25628450555372,-1.4838299425022754
1039,18.334999084472656,169.92999267578125,9.268066602724279,-1.6841301321398774
1040,18.325000762939453,169.3699951171875,9.242564150923364,-1.2211718766430195
1041,18.325000762939453,170.30999755859375,9.293860325672089,-2.1611743180492695
1042,18.274999618530273,170.55999755859375,9.332968597474075,-2.896463392960534
1043,18.170000076293945,171.09120178222656,9.416136547266502,-4.446746906078978
1044,18.18000030517578,167.46499633789062,9.21149579355144,-0.7234836467608048
1045,18.187400817871094,166.6199951171875,9.161286804295052,0.1933436891685787
1046,18.204999923706055,167.27999877929688,9.1886843988101,-0.29585080665408015
1047,18.19499969482422,166.0399932861328,9.125583735698816,0.8470968715277181
1048,18.2549991607666,166.58140563964844,9.12524860574428,0.8880128960202498
1049,18.350000381469727,167.10000610351562,9.106267173283399,1.2914524185418301
1050,18.200000762939453,174.24000549316406,9.573626274124553,-7.304377172069714
1051,18.15999984741211,172.6959991455078,9.509691662806807,-6.1486020843424924
1052,18.111799240112305,171.21859741210938,9.453428405550707,-5.1390142060683175
1053,18.094999313354492,171.27040100097656,9.465068112745126,-5.353870481253217
1054,18.100000381469727,171.12010192871094,9.454149078576755,-5.155033245553774
1055,18.05500030517578,170.77499389648438,9.458598228188826,-5.2466761248046865
1056,18.010000228881836,170.22999572753906,9.451970769803145,-5.138428867336849
1057,18.170000076293945,167.9105987548828,9.241089600982038,-1.2661438787352282
1058,18.155000686645508,167.99989318847656,9.253642899174015,-1.5010157788596885
1059,18.15999984741211,166.9501953125,9.193292770665481,-0.40279825133467995
1060,18.174999237060547,167.33999633789062,9.207152867256715,-0.6470218101945946
1061,18.097299575805664,167.5010986328125,9.25558522867938,-1.5622427793358398
1062,18.110000610351562,168.54989624023438,9.307006657078317,-2.487769742094976
1063,18.110000610351562,168.52999877929688,9.305907956897924,-2.467872281157476
