,abt,unh,Ratio,Spread
861,102.4000015258789,528.05517578125,5.156788749146629,-49.079193868492055
862,102.4000015258789,526.1599731445312,5.138280911173211,-47.183991231773305
863,102.31999969482422,525.4500122070312,5.135359790600261,-46.851929258845374
864,102.18000030517578,523.5349731445312,5.123654057358741,-45.598195365132156
865,101.9800033569336,522.6799926757812,5.125318449406036,-45.68792626938354
866,102.23999786376953,523.7000122070312,5.122261572274672,-45.4798282234175
867,102.19999694824219,522.7899780273438,5.115361972976415,-44.75874352601603
868,103.36000061035156,523.52001953125,5.065015638930048,-40.009358158913486
869,103.37000274658203,523.8900146484375,5.06810487306251,-40.33210689592228
870,103.29000091552734,522.9500122070312,5.062929688951309,-39.7700034190881
871,103.33999633789062,521.7449951171875,5.048819562671927,-38.3288265052084
872,103.58999633789062,522.7100219726562,5.04595077180693,-38.112946125211025
873,103.402099609375,521.1199951171875,5.039742878392577,-37.41047369464037
874,102.66000366210938,519.385009765625,5.0592732440874055,-39.18087423722217
875,102.68000030517578,517.1500244140625,5.0365214538083185,-36.851432163731104
876,103.16999816894531,519.3988037109375,5.034397721519774,-36.78564336985251
877,103.73999786376953,522.64501953125,5.038028053727,-37.33939213483929
878,103.95999908447266,522.6400146484375,5.027318384485234,-36.29518311866799
879,104.19000244140625,523.4600219726562,5.024090696869275,-36.028739929349186
880,104.1500015258789,521.6699829101562,5.00883317587406,-34.42765034913522
881,104.83999633789062,524.0499877929688,4.99856930654594,-33.54837576819274
882,105.12999725341797,525.780029296875,5.001236973586822,-33.90856055434678
883,105.51000213623047,526.9550170898438,4.994360784956289,-33.28854628481254
884,104.83999633789062,523.4099731445312,4.99246462635905,-32.90836111975524
885,103.2300033569336,518.5678100585938,5.0234214200842935,-35.671207474865255
886,103.11000061035156,518.9099731445312,5.032586267800256,-36.580219007660915
887,102.66000366210938,517.9000244140625,5.044808162277647,-37.69588888565967
888,102.5,516.3599853515625,5.03765839367378,-36.911647752303864
889,102.87000274658203,520.2100219726562,5.05696518016221,-39.01392869107333
890,103.44000244140625,523.9500122070312,5.06525521887747,-40.06145187012267
891,102.85530090332031,522.0150146484375,5.075236862503663,-40.88836741918438
892,102.5,517.8099975585938,5.051804854230183,-38.361659959335114
893,102.97000122070312,519.7000122070312,5.047101156123328,-38.03156323894764
894,102.7699966430664,519.1199951171875,5.051279673776373,-38.39629356053412
895,102.72000122070312,518.1599731445312,5.044392201974551,-37.67243141191376
896,103.79000091552734,519.9600219726562,5.009731355488103,-34.4181987137808
897,104.06999969482422,519.75,4.9942346644001105,-32.88556640355104
898,104.06999969482422,520.2449951171875,4.998991031447665,-33.38056152073854
899,104.12999725341797,520.9500122070312,5.002881263304092,-33.80217240636769
900,104.73999786376953,522.0900268554688,4.984628962228232,-32.06077051719343
901,104.7300033569336,523.469970703125,4.998280854809779,-33.4879247065996
902,104.73999786376953,522.010009765625,4.983865002981758,-31.980753427349683
903,105.41000366210938,525.3800048828125,4.98415697400896,-32.18588976428198
904,106.72000122070312,526.75,4.935813286870665,-27.36794249992404
905,106.54000091552734,523.1057739257812,4.909947150653186,-24.573971076778108
906,107.1001968383789,526.8099975585938,4.918851814563739,-25.632037035294402
907,107.33000183105469,526.7899780273438,4.90813350452141,-24.526503989656092
908,106.72000122070312,526.010009765625,4.92887934547345,-26.62795226554904
909,107.0,527.510009765625,4.930000091267523,-26.80534192797559
910,108.09870147705078,525.9603271484375,4.8655563846906915,-20.0658012153216
911,108.43000030517578,526.4600219726562,4.855298538143842,-19.00056330660324
