,ibm,ma,Ratio,Spread
78,121.84913635253906,346.2796936035156,2.8418723674958564,-28.898882955057918
79,121.47308349609375,344.7146301269531,2.837786118585178,-28.321430677280564
80,121.62734985351562,354.02532958984375,2.91073783993667,-37.22698714079129
81,122.0323257446289,356.6969299316406,2.9229708419888913,-38.83501698060572
82,121.65628051757812,355.6800842285156,2.923647531515016,-38.805762439520116
83,124.52967071533203,362.7279052734375,2.912782979267756,-38.30732425746569
84,133.3716278076172,364.1434631347656,2.7302918103393536,-16.5016362384596
85,134.8468780517578,363.296142578125,2.6941383280574156,-11.779930373604504
86,133.30413818359375,350.0777587890625,2.626158224037398,-2.613176945798746
87,134.12371826171875,353.48699951171875,2.635529376108939,-3.869990291333939
88,131.3178253173828,343.0299072265625,2.612211300312745,-0.7818921433659698
89,130.22824096679688,360.4351501464844,2.767718794868628,-21.04866287305261
90,130.88392639160156,377.64093017578125,2.8853117459655717,-36.53244489776446
91,127.48021697998047,362.2394714355469,2.8415347888247875,-30.06999958267149
92,128.28050231933594,357.9130859375,2.7900817307881023,-23.64185963754473
93,127.77911376953125,356.6669921875,2.791277710931712,-23.712540745766734
94,132.48452758789062,367.3633117675781,2.7728770933184497,-22.051237448418494
95,131.05747985839844,352.2608642578125,2.6878348693902407,-10.696583087120434
96,132.744873046875,346.0304870605469,2.6067333458397015,-0.03467882888277973
97,131.2029266357422,326.9605407714844,2.492021703747682,14.985720920482589
98,126.0207748413086,324.3088684082031,2.5734555974329503,4.0277342736840565
99,127.60176849365234,324.84716796875,2.545788916592561,7.641529317662541
100,129.6999969482422,320.2317199707031,2.469018716311105,17.767463099411867
101,130.38314819335938,331.75543212890625,2.5444655749292844,8.037881230549754
102,131.77870178222656,328.6950988769531,2.4942960769195053,14.763295944450174
103,135.0382843017578,337.7964172363281,2.5014862931869386,14.222476845959118
104,129.73904418945312,334.845703125,2.5809169877653577,3.2560280099431607
105,126.53801727294922,331.1772766113281,2.6172156301213505,-1.482262713518101
106,125.38642120361328,335.12481689453125,2.672736119889144,-8.454189476068525
107,128.01165771484375,347.3363952636719,2.7133184700833386,-13.77122381100391
108,130.5783233642578,339.62066650390625,2.6008962112073495,0.6852268857246981
