,alb,shw,Ratio,Spread
1370,263.260009765625,207.14999389648438,0.7868646441246651,78.40547778816006
1371,265.6499938964844,207.99000549316406,0.7829475259623434,80.1677426362051
1372,267.2099914550781,208.18499755859375,0.7791063366490645,81.67131620062207
1373,269.75,209.97999572753906,0.7784244512605711,82.64194493292024
1374,267.489990234375,208.57000732421875,0.7797301392155628,81.5911763370637
1375,268.54998779296875,207.9600067138672,0.7743809948492281,83.35532966440525
1376,266.1650085449219,206.7449951171875,0.7767549771002081,81.97351426202113
1377,265.3977966308594,206.49339294433594,0.7780524012094444,81.38975628904643
1378,264.70001220703125,204.9600067138672,0.7743105298898162,82.16337681807067
1379,269.82000732421875,212.64500427246094,0.7880994681648804,80.0531621705968
1380,269.6099853515625,212.60000610351562,0.7885464843829588,79.86948299174674
1381,270.0899963378906,212.3800048828125,0.7863305111719828,80.61213257099007
1382,270.20001220703125,213.125,0.7887675439359362,79.98692557336119
1383,273.2449951171875,215.14500427246094,0.7873703384034206,81.28237733233414
1384,275.2699890136719,215.4199981689453,0.7825771306956605,83.21224908725384
1385,273.45001220703125,214.47000122070312,0.7843115437798047,82.1806082862264
1386,283.79998779296875,218.86000061035156,0.7711769204514881,89.05992961004927
1387,285.739990234375,220.38499450683594,0.7712780921076803,89.64726047371494
1388,284.14990234375,221.14999389648438,0.7782863624881645,87.15093232359993
1389,282.0199890136719,219.25,0.7774271631127931,86.73182157976413
1390,282.8500061035156,218.375,0.7720523078938188,88.51056562296947
1391,284.25,218.9550018310547,0.7702902439087236,89.45491330224803
1392,283.92999267578125,219.6999969482422,0.77378227948999,88.36148594603372
1393,271.8599853515625,217.7550048828125,0.8009821842711321,77.16434232030491
1394,269.7900085449219,218.0500030517578,0.8082211948017749,74.61549994566167
1395,271.3299865722656,217.75,0.8025283263042686,76.59227084462242
1396,275.9200134277344,217.9813995361328,0.7900166313714095,81.35861108944175
1397,275.739990234375,217.88999938964844,0.7902009396767045,81.25399733376906
1398,277.20001220703125,218.91000366210938,0.7897185931529215,81.82370269124516
1399,276.9100036621094,217.52999877929688,0.7855620811905768,82.88793878066917
1400,279.45001220703125,218.25,0.7809983555782024,84.93356446120953
1401,280.9200134277344,220.33299255371094,0.784326434650377,84.45114720043028
1402,284.0199890136719,219.0850067138672,0.7713717878614561,89.07446651732363
1403,283.5400085449219,218.27000427246094,0.7698031942390943,89.36685382851692
1404,281.6600036621094,217.38999938964844,0.7718170722259813,88.19986084245596
1405,281.8399963378906,216.63999938964844,0.768663079068183,89.14584151628583
1406,280.95001220703125,216.69000244140625,0.7712760029415056,88.12680075837329
1407,269.6600036621094,211.74000549316406,0.7852110161597398,80.78394483038028
1408,273.1600036621094,209.35000610351562,0.7664006563804092,86.98483461002542
1409,271.3900146484375,207.5449981689453,0.7647481003964057,86.86263279528094
1410,270.57220458984375,207.68499755859375,0.76757698697625,85.83218069330746
1411,270.8349914550781,205.72999572753906,0.7596137951829697,88.07331164988761
1412,270.8450012207031,204.32000732421875,0.7543798349733055,89.49419894452973
1413,272.4700012207031,205.61000061035156,0.7546151858523523,89.97354762518108
1414,276.8275146484375,204.47000122070312,0.7386187802913081,95.85812017083936
1415,276.6600036621094,203.4499969482422,0.7353791449982048,96.69573415529555
1416,275.5199890136719,203.527099609375,0.7387017556801498,95.37735410325246
1417,274.9549865722656,204.44000244140625,0.7435398971666727,93.84926202142702
1418,276.29998779296875,205.8000030517578,0.7448426063846355,93.95373347579294
1419,276.8550109863281,206.67999267578125,0.746527909823484,93.67806743856909
1420,278.1000061035156,205.74000549316406,0.7398058287585315,95.97363745766705
1421,269.010009765625,205.91000366210938,0.765436214962813,85.90621652038675
1422,269.42999267578125,206.85499572753906,0.7677504411190708,85.41851269389343
1423,272.2650146484375,207.14500427246094,0.7608212334586475,88.21534928926445
1424,273.9049987792969,206.8699951171875,0.7552618464034537,90.27601551997765
1425,275.0899963378906,206.13999938964844,0.7493547643820843,92.29626719272085
1426,270.9800109863281,203.22999572753906,0.749981502280597,90.73121266074543
1427,273.17999267578125,204.47999572753906,0.7485174654434612,91.87660954031844
1428,265.1000061035156,204.02000427246094,0.7695963771226609,83.53890294409678
1429,253.4499969482422,203.72999572753906,0.8038271776706448,71.14408065096012
1430,248.30999755859375,203.60499572753906,0.8199629403946749,65.67251657136012
1431,249.86000061035156,202.0500030517578,0.808652855832047,68.91519259982977
1432,252.6300048828125,202.59750366210938,0.8019534487049086,71.38374417866993
1433,253.75,201.56500244140625,0.7943448372075124,73.63572500763968
1434,251.50999450683594,201.41000366210938,0.8008031810307846,71.35174795623976
1435,238.27999877929688,200.1300048828125,0.8398942668628255,58.226585713314996
1436,251.38999938964844,204.38999938964844,0.8130394999239762,68.24109844614748
1437,249.39540100097656,205.49000549316406,0.8239526658005992,64.96932210511966
1438,253.8300018310547,206.47999572753906,0.8134578034040632,68.80783978126357
1439,256.8999938964844,205.13999938964844,0.7985208418195129,73.49052276472906
1440,255.99000549316406,206.32000732421875,0.8059689944798579,71.31969595552391
1441,256.0,205.6699981689453,0.8033984303474426,71.98058738795561
1442,245.72000122070312,204.27000427246094,0.8313120757678483,62.18745312523999
1443,249.19200134277344,203.36000061035156,0.816077560734471,66.87786018713933
1444,244.22000122070312,202.6999969482422,0.8299893372167374,62.124221710888726
1445,243.85000610351562,202.69000244140625,0.8312076988645358,61.731355978743075
1446,240.83999633789062,202.63499450683594,0.8413677029896051,58.50898754485156
1447,239.35499572753906,202.75999450683594,0.8471099334715383,56.767080529100674
1448,237.6699981689453,201.74000549316406,0.848824029315468,55.95240068471174
1449,248.9801025390625,207.16000366210938,0.8320343736287442,62.84713624546334
1450,249.0800018310547,207.97999572753906,0.8349927501149096,62.135917109125224
1451,249.28500366210938,209.77999877929688,0.8415267492931138,60.559125345338266
1452,248.52000427246094,208.92999267578125,0.8406968818764553,60.576180356749724
1453,246.97000122070312,208.16000366210938,0.8428554182015351,59.6584860177332
1454,246.8699951171875,209.3800048828125,0.8481387330340459,58.329595568793316
1455,248.0800018310547,209.1300048828125,0.8429942088811835,59.89708212813844
1456,253.17999267578125,213.6699981689453,0.8439450365359956,60.91009058464545
1457,251.41000366210938,212.11500549316406,0.8437015329678086,60.53787351111192
1458,251.3000030517578,212.35499572753906,0.8450258382360719,60.1781117713419
1459,252.58999633789062,212.52000427246094,0.8413635035180573,61.41768123135825
1460,253.39999389648438,212.9600067138672,0.8404104650486408,61.85962505051362
1461,250.99819946289062,212.27999877929688,0.845743113829316,59.924497177732526
1462,251.9199981689453,212.66000366210938,0.8441568958709385,60.54817053218148
1463,253.86000061035156,209.60000610351562,0.825651956194665,65.72049285092533
1464,253.10000610351562,208.33999633789062,0.8231528696711348,66.15300097010709
1465,254.50010681152344,206.72999572753906,0.8122982670519594,69.28746738993704
1466,254.44000244140625,205.9550018310547,0.8094442691985237,69.99701809599958
1467,255.0500030517578,207.4250030517578,0.8132719097033873,69.19120129354815
1468,254.30999755859375,207.13999938964844,0.8145177200197282,68.67046786353075
1469,256.4700012207031,207.22999572753906,0.8080087134604449,70.93233929658021
1470,258.4599914550781,207.92999267578125,0.8044958583538478,72.39909510844285
1471,258.7950134277344,203.16000366210938,0.7850228679882951,77.53386469812432
1472,256.6499938964844,203.1699981689453,0.7916228443429874,75.18831752900383
1473,255.77999877929688,201.93499755859375,0.7894870534143524,75.47604498751713
1474,253.19000244140625,200.8800048828125,0.7933962753102803,73.71098276210012
1475,254.36000061035156,200.60000610351562,0.7886460356273167,75.26490576378194
1476,255.52000427246094,201.0800018310547,0.7869442645149736,76.04795198146962
1477,260.8699951171875,201.8300018310547,0.7736803986997011,81.12316018053781
1478,264.7550048828125,203.19500732421875,0.7674831583038749,83.98825365333477
1479,267.57000732421875,204.30999755859375,0.7635758566580602,85.938310776609
1480,268.239990234375,206.30999755859375,0.7691246833789778,84.66780547197374
1481,269.4800109863281,206.63999938964844,0.7668101193603267,85.68797026006604
1482,270.7439880371094,207.5399932861328,0.7665543925491947,86.16422721958128
1483,270.04998779296875,207.67999267578125,0.7690427774986501,85.2685824410612
1484,260.8525085449219,209.8300018310547,0.8044009352316407,73.10412034905181
1485,266.9200134277344,211.80499267578125,0.7935148434762277,77.73558551837328
1486,267.6588134765625,213.4373016357422,0.7974230284572034,76.90770113161466
1487,267.6499938964844,213.27000427246094,0.7968242448566791,77.06539550833492
1488,269.4599914550781,213.6750030517578,0.7929748750377279,78.631168815313
1489,269.8340148925781,213.72000122070312,0.792042475837547,78.99341702453978
1490,270.5199890136719,212.74000549316406,0.7864114081507387,80.72031909089674
1491,277.50689697265625,222.13999938964844,0.8004846070962218,78.92785102203658
1492,277.19000244140625,223.1699981689453,0.8051156109647932,77.55280929308742
1493,279.8699951171875,220.6699981689453,0.7884732269229008,82.97085453120059
1494,278.20001220703125,221.4600067138672,0.7960459992685435,80.36252546520069
1495,280.6099853515625,219.99000549316406,0.7839706959021767,84.45656768494501
1496,281.0400085449219,220.02499389648438,0.7828956276925079,84.88979964021013
1497,281.45001220703125,220.0800018310547,0.7819505854885751,85.28121428158153
1498,282.9800109863281,217.10499572753906,0.7672096519143476,89.92212256930549
1499,283.8599853515625,218.69000244140625,0.7704150416641402,89.29525467027116
1500,285.5799865722656,219.60000610351562,0.7689614693918551,90.25803275752185
1501,281.94000244140625,219.0500030517578,0.7769383597749012,86.84472708241327
1502,281.9599914550781,219.72999572753906,0.7792949439159933,86.18649896094848
1503,283.2799987792969,220.75,0.77926433546756,86.60375275322764
1504,282.2699890136719,220.83999633789062,0.782371505768522,85.41403169830187
1505,276.6499938964844,223.52000427246094,0.8079523195510954,76.61482793975495
1506,279.67999267578125,223.36500549316406,0.7986449204183859,80.06896764183017
1507,280.739990234375,223.41000366210938,0.7957897393798302,81.17812218987478
1508,282.44000244140625,223.7949981689453,0.7923629664157534,82.64414487808239
1509,282.44000244140625,221.55999755859375,0.784449779221899,84.87914548843395
1510,281.44000244140625,222.90499877929688,0.7920160490536666,82.44531844201754
1511,282.25,222.10000610351562,0.7868910756546169,84.1322573783604
1512,278.8399963378906,224.05999755859375,0.8035432524073197,78.45936587020054
1513,277.7449951171875,225.63499450683594,0.8123818555637157,75.69210331366912
1514,281.6600036621094,227.33999633789062,0.8071433408437244,78.24986389421377
1515,279.4700012207031,225.77999877929688,0.8078863484206086,77.42533023622917
1516,281.5400085449219,226.1199951171875,0.8031540394057647,79.33921133236367
1517,280.114990234375,226.9250030517578,0.8101137424380159,76.98260665915552
1518,280.1400146484375,226.25999450683594,0.8076675329327071,77.67486243238199
1519,278.25,225.52000427246094,0.8104941752828785,76.35695590656172
