,tjx,bkng,Ratio,Spread
315,60.18000030517578,2037.72998046875,33.86058441567497,-228.1939520051017
316,59.66999816894531,2035.8699951171875,34.118821142795625,-241.92820854849495
317,60.31999969482422,2058.85009765625,34.13213043886853,-245.03333350106098
318,60.09000015258789,2050.989990234375,34.13196846440756,-244.2058799497602
319,59.63999938964844,2046.469970703125,34.31371548703144,-253.44545131367707
320,59.45000076293945,2038.35498046875,34.28687896232022,-251.14001428335044
321,59.06999969482422,2023.5699462890625,34.257151798603616,-247.97420315305934
322,57.529998779296875,2053.1298828125,35.68798759563598,-324.622465566046
323,56.40999984741211,2024.300048828125,35.885482260305174,-330.0386337552977
324,55.939998626708984,2020.68994140625,36.12245246715927,-340.79966756185263
325,56.43000030517578,2044.6800537109375,36.23391888451574,-349.8070883048474
326,56.48500061035156,2060.570068359375,36.47995124535328,-364.01536869713686
327,56.130001068115234,2059.199951171875,36.686262461904846,-373.5000074821296
328,56.189998626708984,2043.3800048828125,36.36554644640133,-355.84552683457787
329,56.20000076293945,2116.429931640625,37.658895069558156,-428.58962010510913
330,55.880001068115234,2120.0,37.93843878807043,-441.94426051409187
331,55.630001068115234,2112.6416015625,37.9766593744212,-442.2300662804291
332,55.11000061035156,2098.449951171875,38.07748009310879,-443.93837463074146
333,55.61000061035156,2092.52001953125,37.628484023820285,-422.72003458244194
334,55.349998474121094,2081.18994140625,37.60054198338074,-419.33999414856044
335,54.98699951171875,2074.72998046875,37.73128191922141,-423.97938598859855
336,55.560001373291016,2083.0048828125,37.49108767685972,-414.7337153761996
337,55.93000030517578,2083.449951171875,37.25102699452465,-403.86539417345944
338,55.400001525878906,2052.81005859375,37.054332167027546,-389.43117718225335
339,55.255001068115234,2030.93994140625,36.75576693777677,-371.9947124299349
340,55.02000045776367,2018.3499755859375,36.683932366291636,-366.59031722383725
341,55.52000045776367,2032.739990234375,36.61275168361649,-365.69192346460045
342,56.040000915527344,2053.0400390625,36.635260626729426,-370.0920135517881
343,57.209999084472656,2100.25,36.71123988131697,-381.52715480315373
344,57.26499938964844,2092.179931640625,36.535055512788844,-371.77535218763046
345,57.36000061035156,2096.2900390625,36.54619973424808,-372.98062468683156
346,57.30500030517578,2101.3701171875,36.669925940087715,-379.7424370679796
347,56.869998931884766,2083.2099609375,36.631088448456545,-374.8832381235243
348,57.22999954223633,2107.570068359375,36.82631635885243,-388.2356728292657
349,57.185001373291016,2101.530029296875,36.749671746592306,-383.57153453563274
350,56.540000915527344,2078.732421875,36.7656948746905,-380.4959879566136
351,55.79499816894531,2037.43994140625,36.51653388780394,-361.9833199970342
352,55.790000915527344,2047.1300048828125,36.693492942981116,-371.82618357593765
353,56.5099983215332,2059.139892578125,36.438505640398986,-361.82084248028286
354,56.58000183105469,2065.18994140625,36.50035126497191,-365.73040682133774
355,56.189998626708984,2039.449951171875,36.29560421812248,-351.91547312364037
356,56.13999938964844,2046.8699951171875,36.460100060040375,-360.8643345814605
357,54.560001373291016,2132.739990234375,39.08980822127369,-495.0456396134234
358,54.20000076293945,2125.93994140625,39.22398360665545,-499.253263501432
359,55.04999923706055,2133.2900390625,38.751863190332884,-480.6131135211551
360,55.63999938964844,2141.52001953125,38.488857710693466,-470.8027674031973
361,55.6150016784668,2133.02001953125,38.35332113919759,-463.0671178388013
362,55.92499923706055,2148.719970703125,38.42145730918857,-469.28833044835005
363,56.189998626708984,2146.6298828125,38.20305989102009,-459.09540476426537
364,62.032798767089844,2116.030029296875,34.11147121125041,-249.84132166752036
365,60.3650016784668,2081.030029296875,34.4741153223427,-265.8372477315195
366,60.755001068115234,2075.820068359375,34.1670649636246,-248.7023468986413
367,61.11000061035156,2071.1298828125,33.8918321408373,-233.15740537927334
368,60.560001373291016,2059.25,34.00346686432207,-238.0947484869553
369,59.7400016784668,2047.5999755859375,34.275191129162494,-251.51770453017505
370,60.209999084472656,2050.389892578125,34.05397647825065,-239.93659693523207
371,61.18000030517578,2091.0,34.177835723598434,-250.88715472100287
372,60.54499816894531,2115.7451171875,34.94500257946504,-295.0486159053771
373,61.68000030517578,2122.14990234375,34.40580239695091,-266.74864865707855
374,61.744998931884766,2113.860107421875,34.23532503019106,-256.4714026330737
375,62.209999084472656,2128.260009765625,34.21089922981255,-256.6530804920344
376,62.025001525878906,2117.139892578125,34.13365321232251,-251.18959976494241
377,61.40999984741211,2103.389892578125,34.251586025150665,-256.2443934285536
