,amd,adbe,Ratio,Spread
343,120.91999816894531,476.8399963378906,3.9434337045859524,48.43485383188205
344,118.41000366210938,467.4848937988281,3.948018573944365,46.795651762569165
345,116.35600280761719,467.7749938964844,4.02020508275712,37.50859529761898
346,114.34989929199219,466.8999938964844,4.083081811067069,29.596439362956417
347,114.81999969482422,467.5899963378906,4.072374129774261,30.965575701009314
348,113.29000091552734,466.54998779296875,4.118192108947403,25.30386733610534
349,113.83000183105469,466.67999267578125,4.099797814010605,27.539180201176364
350,115.0470962524414,471.55999755859375,4.098843107903185,27.990305234958
351,116.45500183105469,472.4999084472656,4.057360362526443,33.21731732119646
352,117.19999694824219,471.8450012207031,4.0259813439165795,37.1354600758864
353,117.91999816894531,473.8500061035156,4.018402420805887,38.28421219025189
354,118.27999877929688,473.8900146484375,4.006510141521787,39.82108214391907
355,118.94000244140625,473.2950134277344,3.9792752960543702,43.30703841815365
356,118.27999877929688,471.02239990234375,3.9822658502156587,42.68869689001282
357,114.375,463.80999755859375,4.055169377561476,32.79638208876629
358,113.44999694824219,462.3500061035156,4.075363759722687,30.20466534806748
359,112.58000183105469,460.70001220703125,4.092201143311309,28.043897388257577
360,113.68990325927734,464.4800109863281,4.085499219108761,29.125500637936128
361,113.19210052490234,462.510009765625,4.086062610560641,28.915021032209054
362,112.18499755859375,458.260009765625,4.084860005690848,28.753697918377682
363,111.97000122070312,459.1199951171875,4.100383943126159,26.95198332317854
364,109.87999725341797,455.6549987792969,4.146842102010729,21.262322076574335
365,109.04949951171875,453.20001220703125,4.155910978374817,20.07955361633232
366,108.83999633789062,456.6099853515625,4.195240726892621,15.75191244375766
367,108.34500122070312,452.42999267578125,4.175827103958061,17.763722247745264
368,107.55999755859375,448.70001220703125,4.171625347635398,18.05522133479691
369,107.13999938964844,449.6300048828125,4.196658647043584,15.285548216780128
370,108.41000366210938,451.8999938964844,4.168434449139577,18.578445411562555
371,104.83999633789062,441.30999755859375,4.209366777697017,13.531057735386256
372,106.33999633789062,446.3999938964844,4.197856020965697,15.01137733549821
373,105.61000061035156,450.8800048828125,4.269292702178231,7.333831306954281
374,105.55500030517578,446.3500061035156,4.228601248761773,11.622917165123582
375,105.30000305175781,448.30999755859375,4.257454744215318,8.545984031192816
376,104.12000274658203,443.6499938964844,4.260948734089888,8.037337818672611
377,102.94999694824219,437.739990234375,4.2519670054429195,8.822469651190218
378,101.94499969482422,424.55999755859375,4.164598546564602,17.600362679117566
379,103.56999969482422,427.3999938964844,4.126677562574553,21.87820860739636
380,106.97000122070312,439.3399963378906,4.107132759879414,24.830928975800262
381,107.45999908447266,439.3900146484375,4.08887044846371,26.92720451452813
382,107.01000213623047,434.8900146484375,4.064012764851599,29.456123100469384
383,106.44999694824219,433.4649963378906,4.072005718785025,28.428200736347222
384,105.5,431.5199890136719,4.090236862688833,26.2120213338397
385,109.31999969482422,444.3299865722656,4.064489460415746,30.13442702729158
386,108.18000030517578,440.9100036621094,4.075707177096526,28.560972498034303
387,109.22000122070312,448.3800048828125,4.105292069872456,25.64639433788217
