,acn,adbe,Ratio,Spread
78,323.702392578125,434.44000244140625,1.3420969767362931,-7.083568819307993
79,323.1683044433594,426.7699890136719,1.320581205352923,-0.12085104776573385
80,322.9996337890625,431.6700134277344,1.3364411852851819,-5.244246874420321
81,316.9283142089844,420.44000244140625,1.3266091528955841,-2.054515547605569
82,311.1050109863281,425.4700012207031,1.3676089622336585,-14.7963446522136
83,318.0195617675781,436.3999938964844,1.3722426113379265,-16.56936226386201
84,321.09490966796875,428.1099853515625,1.3332817570800288,-4.206654721085749
85,319.7457275390625,417.4800109863281,1.3056625156479242,4.636590830923445
86,308.3273010253906,408.6700134277344,1.3254421910373761,-1.674892407305401
87,314.2994079589844,413.95001220703125,1.317056290036191,0.9540006563131331
88,300.6885681152344,399.1199951171875,1.327353406279918,-2.2408872685103
89,300.6885681152344,397.8999938964844,1.3232960481024845,-1.0208860478071753
90,311.3431091308594,410.5299987792969,1.3185774367235108,0.45897238319364564
91,297.9703369140625,395.95001220703125,1.3288235879708625,-2.6706718797922457
92,302.1766357421875,407.2900085449219,1.347854070664866,-8.440245105616464
93,302.3948669433594,407.5799865722656,1.34784029468532,-8.441218433946995
94,312.35498046875,423.3500061035156,1.3553489861701447,-11.021008538398826
95,296.3235778808594,400.510009765625,1.3515968342102533,-9.41148087223453
96,293.3870849609375,391.010009765625,1.3327444519846037,-3.8002935072711574
97,285.2027282714844,376.9100036621094,1.3215511855248765,-0.538872944918148
98,285.30194091796875,393.0299987792969,1.3775931475078977,-16.527480245507682
99,278.704833984375,379.3299865722656,1.3610455949017803,-11.564050586998144
100,278.9726867675781,388.489990234375,1.392573569605542,-20.369335434502737
101,284.48846435546875,405.45001220703125,1.4251896403800082,-30.02478485725768
102,283.8932800292969,402.8599853515625,1.4190543196724792,-28.2229636576209
103,288.7542724609375,409.6499938964844,1.418680286200446,-28.575534993436825
104,271.9787902832031,397.8800048828125,1.4629082086456533,-39.021403068683206
105,271.43316650390625,394.3800048828125,1.4529543679664396,-36.24397543809405
106,274.448974609375,399.0899963378906,1.4541500725441514,-36.96011675111068
107,281.1353759765625,406.760009765625,1.4468474782040077,-35.77529455392666
108,277.08782958984375,398.4100036621094,1.4378473578282072,-32.78547489008664
109,277.41522216796875,402.5,1.450893706749427,-36.44190355757964
110,289.2304382324219,408.6000061035156,1.4127144037833594,-26.894958427051357
111,301.7301940917969,428.2200012207031,1.419214946351785,-29.96146274879586
112,296.0854797363281,416.4800109863281,1.4066208561028204,-25.696796686938647
113,296.2739562988281,418.1600036621094,1.4113964281097473,-27.12718888431052
114,304.1805419921875,441.2799987792969,1.4507173795180843,-39.776452015141466
115,302.5238342285156,429.760009765625,1.4205823182876882,-30.45044959010462
116,302.30560302734375,429.4599914550781,1.4206153877215209,-30.439435978570963
117,304.09124755859375,433.4200134277344,1.4252959166285144,-32.03471973997559
118,300.2322082519531,428.8399963378906,1.4283610637070976,-32.56524819681285
119,293.0795593261719,426.4200134277344,1.454963336263128,-39.61755494479038
120,283.7345275878906,393.8399963378906,1.388058054428689,-19.413211316339833
121,274.3002014160156,371.6499938964844,1.3549023733045817,-9.717135412723474
122,272.93115234375,370.82000732421875,1.3586576839611924,-10.700187548670806
123,278.9528503417969,376.9200134277344,1.3511961357121813,-8.825628108264675
124,268.7447204589844,365.0799865722656,1.3584638460943603,-10.504280013796313
125,273.1890869140625,360.7900085449219,1.3206603990679031,-0.3286046949704311
126,280.4806213378906,362.989990234375,1.2941713709236498,7.1276300511132495
127,284.12139892578125,365.3299865722656,1.2858235527261284,9.6091341463052
128,283.5559387207031,376.6400146484375,1.3282741188482754,-2.4497357796800765
129,296.98822021484375,387.7200012207031,1.305506329309032,4.258716924513442
130,290.29193115234375,381.07000732421875,1.3127130534132385,2.040780870463414
131,281.5420837402344,365.6300048828125,1.2986691013488487,5.893315506308432
132,277.5838317871094,368.5,1.3275268866618213,-2.2186129741579856
133,275.4410400390625,366.05999755859375,1.3289958442891439,-2.6163206350048194
134,278.4171447753906,368.4800109863281,1.3234817535521908,-1.0950632960679851
135,272.98077392578125,376.489990234375,1.3791813424074184,-16.304456343235493
136,273.7446594238281,382.8299865722656,1.398492987509009,-21.632835198116844
137,277.1770935058594,390.8900146484375,1.410253674660797,-25.147273214603352
138,276.8497619628906,389.44000244140625,1.4066835372378157,-24.13074784879924
139,272.6831359863281,384.1600036621094,1.4088146752183843,-24.368633220763705
140,271.4927062988281,375.5400085449219,1.3832416114028874,-17.32513024441058
141,270.9650573730469,371.94000244140625,1.3726493225631808,-14.423892319602567
142,267.48052978515625,372.9599914550781,1.3943444472561959,-20.05845908995544
143,270.3179016113281,379.8599853515625,1.4052342929834427,-23.20090692424545
144,267.4606018066406,375.2300109863281,1.4029356415551584,-22.354869345363703
145,278.8002014160156,387.8299865722656,1.3910678134466614,-19.937755008139753
146,280.41302490234375,401.489990234375,1.4317808182205423,-31.46188825518154
147,286.73492431640625,408.9100036621094,1.4260906816181393,-30.50977786404055
148,286.73492431640625,401.8999938964844,1.4016429803751278,-23.49976809841555
149,288.0092468261719,391.9599914550781,1.3609284971730293,-11.872173821364777
150,283.91741943359375,379.260009765625,1.3358109922323071,-4.591020134762766
151,296.2127685546875,392.7799987792969,1.3260063051832316,-1.8282152448935218
152,302.33551025390625,403.5,1.334610015413453,-4.439838229962867
153,304.90411376953125,410.1199951171875,1.3450785889598922,-7.658218537117784
154,303.3908386230469,411.0899963378906,1.3549848710120624,-10.632257795853002
155,301.140869140625,409.9599914550781,1.3613562072295056,-12.481899038637744
156,306.8056640625,424.5400085449219,1.3837424085444459,-19.559999158879258
157,309.2348327636719,430.5899963378906,1.392436914333524,-22.39302638175277
158,307.9804382324219,433.42999267578125,1.4073296186061242,-26.894223831129658
159,308.9560852050781,434.3399963378906,1.4058308514932971,-26.512173203286316
160,308.4184875488281,426.57000732421875,1.383088318454597,-19.454127523108546
161,315.0788879394531,438.3999938964844,1.3913975536841718,-22.463711697075745
162,313.0279846191406,434.8900146484375,1.3893007527028796,-21.66975423514034
163,319.0213317871094,445.6700134277344,1.3969912636598882,-24.512732620198413
164,318.91180419921875,451.0199890136719,1.4142467700315269,-30.007756152543173
165,319.3598327636719,447.55999755859375,1.4014285819400174,-25.954438171634727
166,317.0401611328125,437.82000732421875,1.3809607141248263,-19.286400975532977
167,318.045654296875,439.0299987792969,1.3803993006912487,-19.164812676298844
