,cmcsa,tmus,Ratio,Spread
80,47.1694450378418,134.85000610351562,2.858842328870562,22.165944498276236
81,46.84455108642578,132.9600067138672,2.83832385261976,22.9510241171857
82,46.13567352294922,130.75999450683594,2.8342491725365653,22.740240950819544
83,47.366355895996094,132.83999633789062,2.804522193549613,24.845621086874093
84,46.66733169555664,132.6999969482422,2.8435308411017854,22.608335039461355
85,46.214439392089844,132.10000610351562,2.858414119941183,21.66810127263391
86,44.678550720214844,128.6300048828125,2.87901023666405,19.914755761850092
87,45.00345230102539,128.80999755859375,2.8622248065990896,20.839708803332275
88,43.88106918334961,124.95999908447266,2.8476972282135717,20.872636225011195
89,43.7629280090332,129.83999633789062,2.9668946353655783,15.590857040376637
90,41.05543518066406,132.2899932861328,3.2222284991985086,3.9330483056710266
