,unp,lmt,Ratio,Spread
749,214.0500030517578,435.04998779296875,2.032468963281316,-31.795336342115917
750,214.69000244140625,434.4549865722656,2.023638649362996,-29.988963485155438
751,215.27000427246094,437.6099853515625,2.032842368496878,-32.04615220637882
752,214.73500061035156,437.0,2.0350664715015903,-32.44880572925197
753,215.86000061035156,440.8900146484375,2.0424812999249786,-34.20945414260896
754,216.6802978515625,442.75,2.0433329859243003,-34.516805495803254
755,217.19000244140625,442.8399963378906,2.0389520298355377,-33.642048283934884
756,218.1300048828125,445.4599914550781,2.0421765987416345,-34.482834992568
757,218.72000122070312,447.4776916503906,2.04589287286468,-35.38380782723564
758,216.58999633789062,445.364990234375,2.0562583580249227,-37.30271572501343
759,216.94000244140625,446.2250061035156,2.0569051400469003,-37.50025054624447
760,217.2550048828125,447.5400085449219,2.0599755977374388,-38.21902582080767
761,218.02999877929688,447.8299865722656,2.0539833466934345,-37.04211866098049
762,217.57000732421875,447.32000732421875,2.055981947261834,-37.402797433261554
763,221.3800048828125,450.4599914550781,2.0347817396314953,-33.33133253566879
764,221.67999267578125,453.0906066894531,2.043894901025742,-35.39413987912471
765,221.61000061035156,451.7799987792969,2.0386264046523985,-34.216010849723574
766,221.99000549316406,451.6499938964844,2.034551028065957,-33.36674412990962
767,221.6898956298828,450.2659912109375,2.031062308598262,-32.550780386305604
768,221.72999572753906,450.1650085449219,2.0302395581068917,-32.37389745898096
769,221.2899932861328,447.8900146484375,2.023995789404295,-30.931726977681848
770,222.01499938964844,449.04998779296875,2.02261103541415,-30.71943032927672
771,221.2100067138672,448.45001220703125,2.027259159153214,-31.64312071960208
772,222.37010192871094,449.0199890136719,2.0192462256352344,-30.017304121827834
773,221.49000549316406,449.3349914550781,2.028691951379929,-31.998126681872492
774,221.50999450683594,449.1499938964844,2.0276737169194563,-31.77529451813612
775,222.5749969482422,450.8299865722656,2.0255194552562528,-31.439482537020666
776,222.4499969482422,450.5400085449219,2.0253540783358597,-31.386100758019182
777,220.57000732421875,439.57000732421875,1.99288204528229,-23.974487473046878
778,220.2100067138672,440.5,2.000363228599187,-25.58587849930902
779,221.08999633789062,440.8800048828125,1.9941200967275698,-24.300265433128942
780,220.8699951171875,440.92999267578125,1.996332695356995,-24.766664933690294
781,221.35000610351562,439.5299987792969,1.9856787289797864,-22.458120648979474
782,220.1199951171875,440.2799987792969,2.0001817578857413,-25.53624852725963
783,219.8800048828125,440.1099853515625,2.00159166626417,-25.820481412260477
784,220.7100067138672,437.8999938964844,1.9840513822474146,-22.03948740242427
785,220.36000061035156,437.5299987792969,1.9855236774706362,-22.33197333314635
786,220.25999450683594,437.7799987792969,1.9875602002056258,-22.7712618843714
787,221.10000610351562,438.4100036621094,1.9828583969231215,-21.811318028476506
788,221.73500061035156,438.3500061035156,1.9769093958865578,-20.549421925600058
