,mu,qcom,Ratio,Spread
62,78.98002624511719,151.36376953125,1.91648163120999,12.136230131377996
63,77.92576599121094,152.93646240234375,1.9625917109315691,8.353079538505963
64,78.69159698486328,154.92201232910156,1.9687237045005146,7.973240371708665
65,75.24038696289062,150.26284790039062,1.9971036030755915,5.3962846732669005
66,77.7865219116211,155.7575225830078,2.002371603141933,5.240067584263353
67,77.67710876464844,155.27587890625,1.9989914837937104,5.49230572790574
68,79.4275894165039,155.74769592285156,1.960876530019548,8.690705300975136
69,81.6057357788086,158.32302856445312,1.9400968210566212,10.682271987959918
70,78.73138427734375,150.125244140625,1.9068030559679363,12.853430208270904
71,77.46825408935547,150.21372985839844,1.9390359525223708,10.116551110110915
72,75.76750946044922,144.483154296875,1.90692759107115,12.281191141190757
73,77.24944305419922,151.18682861328125,1.9571251602060948,8.684673281959103
74,74.20601654052734,142.97923278808594,1.9267876036709013,10.511144889595666
75,73.38050842285156,136.90463256835938,1.86568116671328,14.854909875473648
76,72.88322448730469,136.8456573486328,1.8776015785699705,13.871234467736027
77,71.8474349975586,134.35879516601562,1.8700569501274638,14.186366408923018
78,71.73788452148438,133.05148315429688,1.8546892488089752,15.263984950869482
79,71.66815948486328,133.76904296875,1.8665059062525915,14.40023329713446
80,72.08645629882812,138.10382080078125,1.9158081544234036,10.942494525428113
81,69.8455810546875,134.57505798339844,1.9267512124786996,9.772834947961766
82,70.86145782470703,136.94395446777344,1.9325590902537944,9.533917889771768
83,72.43505096435547,138.6444549560547,1.914052010873578,11.132755580640517
84,72.90313720703125,137.94654846191406,1.8921894687490843,12.812094169699972
85,70.63237762451172,133.7886962890625,1.8941553546490484,12.208865731872717
86,69.12850952148438,130.5449676513672,1.8884389169535798,12.299448029699956
87,69.83563232421875,134.2310333251953,1.9220994907300992,10.096000195023233
88,66.8079605102539,131.22320556640625,1.9641851744039647,6.755736469388149
89,66.20043182373047,132.7959442138672,2.0059679454577912,3.9091980449254846
90,69.8953857421875,145.66268920898438,2.084010091113428,-1.2103712500683672
91,67.91345977783203,137.30763244628906,2.021802937083001,2.9891996772555514
92,70.31368255615234,142.79248046875,2.030792233854574,2.536876550490912
93,70.97100067138672,141.7996826171875,1.9979946918566795,4.907867213649065
